common_key,full_fips,county,state,population,unemployment_rate,poverty_rate,disability_rate,homeownership_rate,Cost Per Meal ($),insecurity_rate,region,food_insecure_population,annual_budget_shortfall
stark illinois,17175,Stark County,IL,5308,0.0423076923076923,0.0989077669902912,0.147,0.8009999999999999,3.66,0.1385339171023151,MW,736,511174
stephenson illinois,17177,Stephenson County,IL,43768,0.0392307692307692,0.1288589642575746,0.157,0.7090000000000001,3.79,0.1555743299796686,MW,6810,4890075
tazewell illinois,17179,Tazewell County,IL,130290,0.0384615384615384,0.0844692610661782,0.125,0.784,3.64,0.1288221023662789,MW,16785,11591812
union illinois,17181,Union County,IL,16997,0.0376923076923076,0.1970980196786648,0.211,0.774,3.63,0.1835990040717783,MW,3121,2149256
vermilion illinois,17183,Vermilion County,IL,72386,0.0492307692307692,0.1673945557882142,0.147,0.7020000000000001,3.54,0.1714851463678409,MW,12414,8329620
wabash illinois,17185,Wabash County,IL,11119,0.0323076923076923,0.1610065272916469,0.236,0.763,3.22,0.1748707055223652,MW,1945,1186772
warren illinois,17187,Warren County,IL,16447,0.0369230769230769,0.1436928456159225,0.138,0.752,3.65,0.1526226401291017,MW,2511,1739037
washington illinois,17189,Washington County,IL,13627,0.0284615384615384,0.0743394191510669,0.1369999999999999,0.841,3.66,0.1191879948504619,MW,1625,1128610
wayne illinois,17191,Wayne County,IL,15973,0.0338461538461538,0.145170731707317,0.17,0.784,3.54,0.15576191369606,MW,2488,1669414
white illinois,17193,White County,IL,13619,0.0376923076923076,0.1625088533878964,0.216,0.7709999999999999,3.75,0.1733184008632431,MW,2361,1676841
whiteside illinois,17195,Whiteside County,IL,54947,0.0384615384615384,0.1117291738349199,0.152,0.769,3.61,0.1442833934055011,MW,7928,5428457
will illinois,17197,Will County,IL,701462,0.0423076923076923,0.0694123526033548,0.1,0.828,3.87,0.1175184395258522,MW,82435,60488187
williamson illinois,17199,Williamson County,IL,66876,0.0346153846153846,0.124789019457979,0.191,0.7070000000000001,3.55,0.158974031383126,MW,10632,7154783
winnebago illinois,17201,Winnebago County,IL,283292,0.0446153846153846,0.1458489878211185,0.153,0.659,3.73,0.1664499408796882,MW,47154,33304917
woodford illinois,17203,Woodford County,IL,38312,0.0292307692307692,0.0658237675372927,0.106,0.857,4.34,0.109440644668535,MW,4193,3446881
adams indiana,18001,Adams County,IN,36227,0.0323076923076923,0.0990043097042651,0.123,0.835,3.27,0.1267999692833545,MW,4594,2848167
allen indiana,18003,Allen County,IN,392378,0.0323076923076923,0.1149737451758277,0.126,0.6890000000000001,3.53,0.1430618218599133,MW,56135,37555662
bartholomew indiana,18005,Bartholomew County,IN,83536,0.0323076923076923,0.0992381791852924,0.135,0.693,3.49,0.1393356139510555,MW,11640,7696092
benton indiana,18007,Benton County,IN,8735,0.0292307692307692,0.1286808714388317,0.195,0.7979999999999999,3.55,0.152120203163846,MW,1329,894348
blackford indiana,18009,Blackford County,IN,11950,0.0392307692307692,0.1605731654363873,0.203,0.7390000000000001,3.32,0.1730814447710344,MW,2069,1303025
boone indiana,18011,Boone County,IN,74718,0.0253846153846153,0.0427346818124234,0.103,0.7879999999999999,3.8,0.1043108374386476,MW,7794,5611950
brown indiana,18013,Brown County,IN,15606,0.0323076923076923,0.0687321701054866,0.155,0.866,3.49,0.12088461893656,MW,1887,1247639
carroll indiana,18015,Carroll County,IN,20535,0.0307692307692307,0.0866659865333605,0.123,0.8220000000000001,3.84,0.1229189536829218,MW,2525,1837903
cass indiana,18017,Cass County,IN,37680,0.0384615384615384,0.1197044057088057,0.156,0.743,3.08,0.1495691703876312,MW,5636,3295146
clark indiana,18019,Clark County,IN,124354,0.0315384615384615,0.0975617998411706,0.156,0.747,3.57,0.1387492098549609,MW,17255,11679422
clay indiana,18021,Clay County,IN,26409,0.0338461538461538,0.1092904867960547,0.176,0.809,3.4,0.1432626723855209,MW,3784,2435075
clinton indiana,18023,Clinton County,IN,32944,0.0276923076923076,0.0930578458951725,0.113,0.742,3.05,0.1273256663756588,MW,4195,2427959
crawford indiana,18025,Crawford County,IN,10499,0.0407692307692307,0.2133293365307753,0.181,0.813,3.31,0.1816941858820636,MW,1908,1197886
daviess indiana,18027,Daviess County,IN,33658,0.0261538461538461,0.1122488160757711,0.143,0.7240000000000001,3.22,0.1402073761679252,MW,4720,2879982
dearborn indiana,18029,Dearborn County,IN,51094,0.0315384615384615,0.0736492852168926,0.153,0.852,3.5,0.1227612549997007,MW,6273,4159866
decatur indiana,18031,Decatur County,IN,26422,0.0315384615384615,0.0976974478705418,0.125,0.7609999999999999,3.34,0.1316622450007122,MW,3479,2204673
dekalb indiana,18033,DeKalb County,IN,43807,0.0307692307692307,0.0883909119203236,0.146,0.821,3.48,0.1281166289113936,MW,5613,3700170
delaware indiana,18035,Delaware County,IN,112280,0.0369230769230769,0.1426760800467368,0.191,0.665,3.35,0.168956073960132,MW,18971,12059313
dubois indiana,18037,Dubois County,IN,43614,0.0253846153846153,0.1058752271350696,0.118,0.747,3.23,0.1311544984857662,MW,5721,3501981
elkhart indiana,18039,Elkhart County,IN,207132,0.0361538461538461,0.1193200325732899,0.125,0.716,3.47,0.1441590200451015,MW,29860,19625555
fayette indiana,18041,Fayette County,IN,23334,0.0407692307692307,0.1716444764303706,0.212,0.721,3.2,0.1805248123287292,MW,4213,2554097
floyd indiana,18043,Floyd County,IN,80918,0.0315384615384615,0.0956539821168642,0.157,0.732,3.74,0.1393788143704912,MW,11279,7988498
fountain indiana,18045,Fountain County,IN,16617,0.0338461538461538,0.1202688137957268,0.188,0.746,3.5,0.1537564769494121,MW,2555,1694318
franklin indiana,18047,Franklin County,IN,23020,0.03,0.0670920774727003,0.133,0.815,3.61,0.1185435697209364,MW,2729,1868600
fulton indiana,18049,Fulton County,IN,20312,0.0361538461538461,0.1449631449631449,0.147,0.8009999999999999,3.36,0.1509935333585333,MW,3067,1955620
gibson indiana,18051,Gibson County,IN,33000,0.0269230769230769,0.1063163278353151,0.158,0.767,3.19,0.13850863622594,MW,4571,2762163
grant indiana,18053,Grant County,IN,66295,0.04,0.1857758694133483,0.204,0.727,3.32,0.1828525886452316,MW,12123,7634885
greene indiana,18055,Greene County,IN,31021,0.0361538461538461,0.1258365443114986,0.1969999999999999,0.77,3.06,0.1567445019421868,MW,4863,2824121
hamilton indiana,18057,Hamilton County,IN,365056,0.0261538461538461,0.0417135674085078,0.08,0.7609999999999999,4.03,0.1016886736103938,MW,37123,28332180
hancock indiana,18059,Hancock County,IN,84037,0.0269230769230769,0.0459337162178961,0.136,0.795,3.62,0.1121176091689569,MW,9423,6470600
harrison indiana,18061,Harrison County,IN,39859,0.0315384615384615,0.070681449714973,0.147,0.836,3.31,0.1217239336130633,MW,4852,3046198
hendricks indiana,18063,Hendricks County,IN,183344,0.0269230769230769,0.0496412316552108,0.102,0.782,3.62,0.1075395042941454,MW,19717,13539299
henry indiana,18065,Henry County,IN,48970,0.0346153846153846,0.1304259862875126,0.203,0.762,3.53,0.1593165043705311,MW,7802,5219725
howard indiana,18067,Howard County,IN,83752,0.0615384615384615,0.1238139640377515,0.183,0.706,3.38,0.1695219283682258,MW,14198,9108823
huntington indiana,18069,Huntington County,IN,36798,0.03,0.0961838349957336,0.165,0.774,3.33,0.1374490332185835,MW,5058,3195376
jackson indiana,18071,Jackson County,IN,46660,0.0284615384615384,0.1107147725723633,0.144,0.732,3.23,0.1403896121863323,MW,6551,4010048
jasper indiana,18073,Jasper County,IN,33234,0.0361538461538461,0.0813794419877199,0.166,0.836,3.79,0.1311607439706922,MW,4359,3130079
jay indiana,18075,Jay County,IN,20229,0.0323076923076923,0.1357262452909167,0.184,0.799,3.09,0.1536256518981228,MW,3108,1823222
jefferson indiana,18077,Jefferson County,IN,32998,0.0338461538461538,0.1210152892974917,0.1969999999999999,0.718,3.43,0.157774306815998,MW,5207,3381450
jennings indiana,18079,Jennings County,IN,27562,0.033076923076923,0.1199907343062311,0.187,0.7879999999999999,3.16,0.1501303084050533,MW,4138,2476154
johnson indiana,18081,Johnson County,IN,166315,0.0269230769230769,0.0685883552044846,0.121,0.727,3.55,0.1214969493125043,MW,20207,13598258
knox indiana,18083,Knox County,IN,36007,0.0323076923076923,0.1300470049415451,0.192,0.6779999999999999,3.34,0.1619151441021314,MW,5831,3695157
kosciusko indiana,18085,Kosciusko County,IN,80442,0.0338461538461538,0.0937611173331576,0.138,0.77,3.52,0.1333519217238391,MW,10728,7156242
lagrange indiana,18087,LaGrange County,IN,40805,0.03,0.0590566578885615,0.111,0.83,4.31,0.1104548104190024,MW,4508,3679295
lake indiana,18089,Lake County,IN,500379,0.0476923076923076,0.1334358688523216,0.136,0.7170000000000001,3.71,0.1562601699974323,MW,78190,54918867
laporte indiana,18091,LaPorte County,IN,111917,0.0369230769230769,0.1304485812613434,0.152,0.747,3.6,0.1513525443633814,MW,16939,11565232
lawrence indiana,18093,Lawrence County,IN,45102,0.0338461538461538,0.1187646798911653,0.173,0.807,3.21,0.1459561044930976,MW,6583,4003804
madison indiana,18095,Madison County,IN,131900,0.0338461538461538,0.1275963663147557,0.215,0.7020000000000001,3.4,0.1646592243857296,MW,21719,13976582
marion indiana,18097,Marion County,IN,975809,0.0346153846153846,0.1413900952663057,0.139,0.565,3.5,0.1642715885514904,MW,160298,106299722
marshall indiana,18099,Marshall County,IN,46284,0.033076923076923,0.1135814730379432,0.129,0.764,3.45,0.1382224336639818,MW,6398,4179996
martin indiana,18101,Martin County,IN,9830,0.0269230769230769,0.1546766435061464,0.177,0.785,3.22,0.157048261028656,MW,1544,942095
miami indiana,18103,Miami County,IN,35712,0.0423076923076923,0.138440610894701,0.179,0.762,3.52,0.1607638212785792,MW,5742,3830270
monroe indiana,18105,Monroe County,IN,140965,0.03,0.114002045753438,0.121,0.54,3.82,0.1512666791901414,MW,21324,15437691
montgomery indiana,18107,Montgomery County,IN,38312,0.0269230769230769,0.1016578917889548,0.153,0.8029999999999999,3.38,0.1334160354585484,MW,5112,3279638
morgan indiana,18109,Morgan County,IN,72659,0.0315384615384615,0.0911548971666906,0.166,0.821,3.45,0.1333481181670336,MW,9689,6330099
newton indiana,18111,Newton County,IN,13922,0.0376923076923076,0.1370853522176668,0.186,0.8109999999999999,3.79,0.1560977984747269,MW,2174,1561090
noble indiana,18113,Noble County,IN,47495,0.033076923076923,0.0839041862547571,0.128,0.7709999999999999,3.29,0.127674574451964,MW,6064,3783325
ohio indiana,18115,Ohio County,IN,5999,0.0307692307692307,0.07819782496116,0.185,0.813,3.5,0.1330225240409513,MW,799,529847
orange indiana,18117,Orange County,IN,19767,0.0353846153846153,0.1277253584945892,0.184,0.787,3.21,0.1532367420971267,MW,3030,1842857
owen indiana,18119,Owen County,IN,21604,0.0346153846153846,0.1163772193654797,0.1969999999999999,0.8140000000000001,3.8,0.1497723137524161,MW,3236,2330032
parke indiana,18121,Parke County,IN,16406,0.0346153846153846,0.1568745808182428,0.157,0.8240000000000001,3.4,0.1545874377547335,MW,2537,1632607
perry indiana,18123,Perry County,IN,19270,0.0315384615384615,0.1386992246267793,0.176,0.755,3.71,0.155798834883783,MW,3003,2109239
pike indiana,18125,Pike County,IN,12154,0.033076923076923,0.1061824470384781,0.157,0.867,3.22,0.1339969570321594,MW,1629,993960
porter indiana,18127,Porter County,IN,174818,0.0369230769230769,0.0903879594651316,0.115,0.777,3.8,0.1285964179270391,MW,22481,16187099
posey indiana,18129,Posey County,IN,25116,0.0292307692307692,0.094939338540801,0.14,0.823,3.72,0.1282530142416998,MW,3222,2269381
pulaski indiana,18131,Pulaski County,IN,12441,0.0292307692307692,0.112101154107264,0.183,0.746,3.48,0.1479317370097655,MW,1841,1213614
putnam indiana,18133,Putnam County,IN,37280,0.033076923076923,0.0813335430099072,0.151,0.754,3.48,0.1325821208946738,MW,4943,3258496
randolph indiana,18135,Randolph County,IN,24387,0.0353846153846153,0.1510488904299584,0.201,0.773,3.2,0.1653401546996692,MW,4033,2444973
ripley indiana,18137,Ripley County,IN,29095,0.0307692307692307,0.0943094745251843,0.143,0.768,3.2,0.1332505916962073,MW,3877,2350400
rush indiana,18139,Rush County,IN,16739,0.0315384615384615,0.1175734051211419,0.1639999999999999,0.7490000000000001,3.44,0.1468350628079114,MW,2458,1601058
st. joseph indiana,18141,St. Joseph County,IN,273040,0.0361538461538461,0.1322242550033534,0.134,0.69,3.61,0.1520712218918826,MW,41522,28430927
scott indiana,18143,Scott County,IN,24526,0.0415384615384615,0.1538961038961039,0.212,0.7090000000000001,3.23,0.1758381988011988,MW,4313,2640106
shelby indiana,18145,Shelby County,IN,45265,0.0307692307692307,0.1209941137998692,0.159,0.725,3.44,0.1483308919354027,MW,6715,4373925
spencer indiana,18147,Spencer County,IN,19955,0.0307692307692307,0.0733911216180719,0.142,0.813,3.47,0.122912698531046,MW,2453,1612240
starke indiana,18149,Starke County,IN,23365,0.0453846153846153,0.1333392753687775,0.1969999999999999,0.83,3.48,0.1592215624993572,MW,3721,2452936
steuben indiana,18151,Steuben County,IN,34726,0.033076923076923,0.0869945628398225,0.156,0.795,3.48,0.1325405794782057,MW,4603,3034364
sullivan indiana,18153,Sullivan County,IN,20780,0.0338461538461538,0.1316674940702741,0.19,0.764,3.44,0.1566588388005617,MW,3256,2120850
switzerland indiana,18155,Switzerland County,IN,9909,0.0384615384615384,0.1185972369819341,0.217,0.785,3.43,0.1582975903703098,MW,1569,1018916
tippecanoe indiana,18157,Tippecanoe County,IN,189071,0.0307692307692307,0.1130902520163703,0.096,0.534,3.55,0.1467938098232811,MW,27755,18677669
tipton indiana,18159,Tipton County,IN,15346,0.0361538461538461,0.1003611092185051,0.139,0.8140000000000001,3.38,0.1336786574913129,MW,2052,1316474
union indiana,18161,Union County,IN,6985,0.023076923076923,0.0865572783381002,0.141,0.7979999999999999,3.2,0.1246124010236339,MW,871,528037
vanderburgh indiana,18163,Vanderburgh County,IN,180117,0.0323076923076923,0.1305278893324712,0.171,0.65,3.49,0.1599047977199189,MW,28802,19043198
vermillion indiana,18165,Vermillion County,IN,15421,0.0384615384615384,0.1445750390651538,0.204,0.752,3.35,0.1666912206619387,MW,2571,1634310
vigo indiana,18167,Vigo County,IN,106109,0.0353846153846153,0.1569804102909029,0.185,0.617,3.35,0.1752174192935028,MW,18593,11819029
wabash indiana,18169,Wabash County,IN,30844,0.0338461538461538,0.1080863006490089,0.154,0.805,3.28,0.1387908825847017,MW,4281,2662514
warren indiana,18171,Warren County,IN,8464,0.0269230769230769,0.1097995819500799,0.191,0.8240000000000001,3.5,0.1421520765920419,MW,1204,798419
warrick indiana,18173,Warrick County,IN,65261,0.0276923076923076,0.0656920296229946,0.132,0.8240000000000001,3.47,0.1161802153732957,MW,7583,4983945
washington indiana,18175,Washington County,IN,28212,0.0315384615384615,0.1371920539674257,0.165,0.821,3.11,0.1484344542248777,MW,4188,2464991
wayne indiana,18177,Wayne County,IN,66397,0.0361538461538461,0.1635014645765603,0.1969999999999999,0.6920000000000001,3.42,0.1747872554701872,MW,11606,7514218
wells indiana,18179,Wells County,IN,28420,0.0261538461538461,0.0701760917315066,0.127,0.7559999999999999,3.27,0.1207992316856294,MW,3434,2128995
white indiana,18181,White County,IN,24717,0.0346153846153846,0.0951452194191223,0.1369999999999999,0.81,3.4,0.1311272897702255,MW,3242,2086287
whitley indiana,18183,Whitley County,IN,34618,0.0307692307692307,0.0924140440240131,0.142,0.818,3.41,0.1288733087698185,MW,4462,2880135
adair iowa,19001,Adair County,IA,7460,0.0223076923076923,0.0868822105113231,0.136,0.7390000000000001,4.05,0.1275654323512977,MW,952,730299
adams iowa,19003,Adams County,IA,3622,0.0223076923076923,0.0879025239338555,0.1369999999999999,0.7709999999999999,3.54,0.1258301764075785,MW,456,305970
allamakee iowa,19005,Allamakee County,IA,14092,0.0346153846153846,0.0952132418729495,0.124,0.7959999999999999,3.67,0.1295698732248962,MW,1826,1271793
appanoose iowa,19007,Appanoose County,IA,12184,0.0369230769230769,0.1707799466850116,0.18,0.688,3.43,0.1744755576840392,MW,2126,1380634
audubon iowa,19009,Audubon County,IA,5599,0.023076923076923,0.11892607298166,0.139,0.762,3.65,0.1375188408452957,MW,770,533277
benton iowa,19011,Benton County,IA,25724,0.0276923076923076,0.071663514513609,0.1119999999999999,0.85,3.88,0.1123567483569797,MW,2891,2126996
black hawk iowa,19013,Black Hawk County,IA,131049,0.0361538461538461,0.1133448130968172,0.133,0.662,3.74,0.1475932471789126,MW,19342,13699222
boone iowa,19015,Boone County,IA,26668,0.0253846153846153,0.0544107797171112,0.1369999999999999,0.8,3.67,0.1140673019430039,MW,3042,2118727
bremer iowa,19017,Bremer County,IA,25204,0.0269230769230769,0.0605396881023304,0.115,0.797,3.76,0.1126667918345891,MW,2840,2022611
buchanan iowa,19019,Buchanan County,IA,20694,0.0315384615384615,0.0869874137231019,0.126,0.821,3.54,0.1240445136637621,MW,2567,1722421
buena vista iowa,19021,Buena Vista County,IA,20753,0.0246153846153846,0.0717547635294735,0.103,0.732,3.35,0.1175676584148621,MW,2440,1551037
butler iowa,19023,Butler County,IA,14268,0.0346153846153846,0.0891358751656116,0.123,0.841,3.76,0.12415918747806,MW,1772,1261995
calhoun iowa,19025,Calhoun County,IA,9803,0.0253846153846153,0.091382040262384,0.165,0.805,3.58,0.1315307604440346,MW,1290,875695
carroll iowa,19027,Carroll County,IA,20594,0.02,0.0773245995598997,0.129,0.7709999999999999,3.65,0.1196727670538867,MW,2465,1707178
cass iowa,19029,Cass County,IA,13096,0.0261538461538461,0.1373911654285486,0.15,0.716,3.66,0.1505086361530473,MW,1972,1369612
cedar iowa,19031,Cedar County,IA,18349,0.0261538461538461,0.0713714285714285,0.1169999999999999,0.815,3.59,0.1150270835164835,MW,2111,1437160
cerro gordo iowa,19033,Cerro Gordo County,IA,42632,0.0276923076923076,0.1035240116479936,0.145,0.7040000000000001,3.81,0.1398344334055954,MW,5962,4304543
cherokee iowa,19035,Cherokee County,IA,11600,0.0223076923076923,0.1146851868774559,0.12,0.755,3.35,0.1324920205048538,MW,1537,977026
chickasaw iowa,19037,Chickasaw County,IA,11807,0.0253846153846153,0.0855610192221725,0.141,0.809,3.76,0.1245621814586843,MW,1471,1047627
clarke iowa,19039,Clarke County,IA,9662,0.0253846153846153,0.0931236850847082,0.172,0.723,3.82,0.1393169865250462,MW,1347,975172
clay iowa,19041,Clay County,IA,16461,0.0276923076923076,0.0946206188214148,0.148,0.733,3.35,0.1354135069871712,MW,2230,1417546
clayton iowa,19043,Clayton County,IA,17013,0.0384615384615384,0.1085444610034774,0.147,0.78,3.84,0.1414550687454621,MW,2407,1752013
clinton iowa,19045,Clinton County,IA,46268,0.0415384615384615,0.1279303110462464,0.142,0.745,3.58,0.1508015555750461,MW,6978,4736901
crawford iowa,19047,Crawford County,IA,16277,0.04,0.1372208277016155,0.172,0.76,3.65,0.1580533147969364,MW,2573,1781976
dallas iowa,19049,Dallas County,IA,107968,0.0269230769230769,0.0614816108007448,0.077,0.69,4.05,0.1130525101704627,MW,12207,9364251
davis iowa,19051,Davis County,IA,9157,0.0292307692307692,0.0676761793826441,0.119,0.833,3.43,0.1143336454011917,MW,1047,679926
decatur iowa,19053,Decatur County,IA,7759,0.0269230769230769,0.1321695760598503,0.157,0.6970000000000001,3.82,0.1518639146364857,MW,1179,853547
delaware iowa,19055,Delaware County,IA,17558,0.0284615384615384,0.0771562741484871,0.151,0.7959999999999999,3.55,0.1260901907096054,MW,2214,1489907
des moines iowa,19057,Des Moines County,IA,38487,0.0376923076923076,0.1207429493667423,0.165,0.746,3.63,0.15112912072822,MW,5817,4005839
dickinson iowa,19059,Dickinson County,IA,17990,0.0315384615384615,0.0693628164096595,0.147,0.775,3.34,0.1256171473556993,MW,2260,1432182
dubuque iowa,19061,Dubuque County,IA,99030,0.0323076923076923,0.0877914504248675,0.11,0.733,3.84,0.1277453000025945,MW,12651,9208440
emmet iowa,19063,Emmet County,IA,9262,0.0346153846153846,0.0938564548337836,0.184,0.794,3.34,0.141141419927893,MW,1308,828891
fayette iowa,19065,Fayette County,IA,19288,0.0338461538461538,0.1117119125926751,0.158,0.765,3.54,0.1436265857499989,MW,2771,1859302
floyd iowa,19067,Floyd County,IA,15328,0.0353846153846153,0.1119780971937029,0.165,0.7659999999999999,3.81,0.1457376513452324,MW,2234,1612940
franklin iowa,19069,Franklin County,IA,9956,0.0284615384615384,0.116047532384113,0.124,0.7240000000000001,3.81,0.1387680884438332,MW,1382,997799
fremont iowa,19071,Fremont County,IA,6514,0.033076923076923,0.0758820686321894,0.151,0.7829999999999999,4.24,0.1287132314012715,MW,839,674890
greene iowa,19073,Greene County,IA,8688,0.0284615384615384,0.0955582232893157,0.166,0.764,3.67,0.1374416378243605,MW,1195,832307
grundy iowa,19075,Grundy County,IA,12384,0.0276923076923076,0.0621055289068417,0.12,0.845,3.74,0.111122497135533,MW,1377,975278
guthrie iowa,19077,Guthrie County,IA,10688,0.03,0.0924664200895464,0.124,0.84,4.05,0.1234108514697294,MW,1320,1012600
hamilton iowa,19079,Hamilton County,IA,14886,0.0246153846153846,0.0721329952099182,0.134,0.7340000000000001,3.58,0.1236892313327698,MW,1842,1250412
hancock iowa,19081,Hancock County,IA,10671,0.0261538461538461,0.1175009932459276,0.133,0.825,3.81,0.1328000989884172,MW,1418,1023791
hardin iowa,19083,Hardin County,IA,16639,0.0253846153846153,0.092222721726286,0.151,0.736,3.55,0.13393686669005,MW,2229,1500001
harrison iowa,19085,Harrison County,IA,14632,0.0253846153846153,0.0678343263225899,0.119,0.7709999999999999,3.65,0.1170189194160229,MW,1713,1186368
henry iowa,19087,Henry County,IA,20004,0.033076923076923,0.1091757037702983,0.161,0.741,3.52,0.1447287182671237,MW,2896,1931812
howard iowa,19089,Howard County,IA,9445,0.0276923076923076,0.088722309241441,0.105,0.774,4.42,0.1220302682066199,MW,1153,965928
humboldt iowa,19091,Humboldt County,IA,9591,0.0253846153846153,0.1259747391543108,0.138,0.772,3.58,0.1400125364761542,MW,1343,911674
ida iowa,19093,Ida County,IA,6911,0.0261538461538461,0.1040772532188841,0.1369999999999999,0.7290000000000001,3.35,0.1359514172994387,MW,940,597531
iowa iowa,19095,Iowa County,IA,16507,0.0315384615384615,0.0824571464984388,0.1369999999999999,0.7659999999999999,3.88,0.128623464945174,MW,2124,1562691
jackson iowa,19097,Jackson County,IA,19390,0.0353846153846153,0.0930659892990325,0.134,0.807,3.58,0.1304098315242018,MW,2529,1716771
jasper iowa,19099,Jasper County,IA,37954,0.033076923076923,0.0777733575812684,0.14,0.723,3.67,0.1314231393323657,MW,4989,3474795
jefferson iowa,19101,Jefferson County,IA,15705,0.03,0.1375317706862468,0.134,0.677,3.43,0.1519255478678339,MW,2386,1549479
johnson iowa,19103,Johnson County,IA,156639,0.023076923076923,0.0880735348310075,0.099,0.594,4.0,0.1312837981792791,MW,20565,15574114
jones iowa,19105,Jones County,IA,20896,0.0376923076923076,0.1183941222776174,0.1369999999999999,0.8059999999999999,3.55,0.1405453101346305,MW,2937,1976448
keokuk iowa,19107,Keokuk County,IA,9924,0.0315384615384615,0.1212185095393696,0.16,0.813,3.55,0.142709237474763,MW,1417,953567
kossuth iowa,19109,Kossuth County,IA,14516,0.0246153846153846,0.0754456165878501,0.1369999999999999,0.7859999999999999,3.58,0.1216910216302431,MW,1767,1199499
lee iowa,19111,Lee County,IA,32893,0.0353846153846153,0.1258150126142656,0.1689999999999999,0.763,3.59,0.1513365072648592,MW,4978,3389001
linn iowa,19113,Linn County,IA,230004,0.0338461538461538,0.0821479832180185,0.119,0.735,3.83,0.1282193611976129,MW,29491,21408121
louisa iowa,19115,Louisa County,IA,10678,0.033076923076923,0.0937684293296638,0.166,0.8029999999999999,3.59,0.136201503152833,MW,1455,990558
lucas iowa,19117,Lucas County,IA,8716,0.0323076923076923,0.1439818680663247,0.177,0.7879999999999999,3.62,0.1557615186595582,MW,1358,932513
lyon iowa,19119,Lyon County,IA,12162,0.023076923076923,0.0539480564755098,0.119,0.809,3.56,0.1086491393652538,MW,1322,892231
madison iowa,19121,Madison County,IA,16926,0.0269230769230769,0.0683459899981478,0.095,0.8009999999999999,4.05,0.1110144840640004,MW,1880,1442188
mahaska iowa,19123,Mahaska County,IA,22021,0.0253846153846153,0.1208850249096415,0.154,0.68,3.55,0.148022751346924,MW,3260,2193810
marion iowa,19125,Marion County,IA,33642,0.023076923076923,0.0805053096482966,0.136,0.777,3.62,0.1231041474186191,MW,4142,2844234
marshall iowa,19127,Marshall County,IA,40114,0.0546153846153846,0.1078910148640354,0.134,0.75,3.55,0.1482248938579367,MW,5946,4001348
mills iowa,19129,Mills County,IA,14568,0.0323076923076923,0.0798635782293591,0.136,0.835,3.66,0.1230192464336857,MW,1793,1245291
mitchell iowa,19131,Mitchell County,IA,10575,0.0246153846153846,0.0888373500050418,0.108,0.8,3.6,0.1194010771247508,MW,1263,862323
monona iowa,19133,Monona County,IA,8557,0.0253846153846153,0.1037924151696606,0.142,0.757,3.58,0.1345050049132504,MW,1151,781337
monroe iowa,19135,Monroe County,IA,7513,0.0346153846153846,0.092863163810059,0.158,0.813,3.43,0.1343146473080165,MW,1010,655898
montgomery iowa,19137,Montgomery County,IA,10214,0.0253846153846153,0.1449003027455893,0.181,0.691,3.66,0.1605608235884587,MW,1640,1139028
muscatine iowa,19139,Muscatine County,IA,42559,0.0338461538461538,0.129341672640973,0.147,0.7390000000000001,3.59,0.1491476660860338,MW,6348,4321691
o'brien iowa,19141,O'Brien County,IA,14126,0.0223076923076923,0.1171396140749148,0.148,0.7609999999999999,3.56,0.1384248903344102,MW,1956,1320124
osceola iowa,19143,Osceola County,IA,6100,0.0184615384615384,0.1485783633841886,0.122,0.779,3.34,0.1406673243358583,MW,859,544356
page iowa,19145,Page County,IA,15131,0.0238461538461538,0.1325106508006464,0.175,0.705,3.54,0.1535577668350453,MW,2324,1559372
palo alto iowa,19147,Palo Alto County,IA,8863,0.023076923076923,0.1139178418148375,0.133,0.7709999999999999,3.35,0.1340291080979107,MW,1188,755177
plymouth iowa,19149,Plymouth County,IA,25747,0.0207692307692307,0.0689346827622647,0.115,0.736,3.53,0.116954160830918,MW,3012,2015100
pocahontas iowa,19151,Pocahontas County,IA,7046,0.0284615384615384,0.0920236113213258,0.1669999999999999,0.773,3.35,0.1358271466509879,MW,958,608973
polk iowa,19153,Polk County,IA,503175,0.033076923076923,0.0939405664106856,0.114,0.674,3.92,0.1351216526637322,MW,67990,50555869
pottawattamie iowa,19155,Pottawattamie County,IA,93424,0.033076923076923,0.1147339139951662,0.157,0.6990000000000001,3.66,0.1487640440617798,MW,13899,9653263
poweshiek iowa,19157,Poweshiek County,IA,18545,0.0276923076923076,0.0951770451770451,0.143,0.7120000000000001,3.67,0.1360992405372405,MW,2524,1757944
ringgold iowa,19159,Ringgold County,IA,4645,0.0246153846153846,0.0842397593149733,0.166,0.785,3.54,0.130423677015648,MW,606,406617
sac iowa,19161,Sac County,IA,9689,0.0269230769230769,0.0909090909090909,0.135,0.78,3.35,0.1279164335664335,MW,1240,788232
scott iowa,19163,Scott County,IA,174608,0.0407692307692307,0.1055411213364737,0.129,0.7,3.76,0.1436354984375555,MW,25080,17861647
shelby iowa,19165,Shelby County,IA,11778,0.0246153846153846,0.0768127632876221,0.102,0.778,3.65,0.1157829143345674,MW,1364,944662
sioux iowa,19167,Sioux County,IA,36212,0.0161538461538461,0.0551295529033454,0.09,0.7609999999999999,3.56,0.1035227807946799,MW,3749,2530237
story iowa,19169,Story County,IA,100466,0.023076923076923,0.0730680365457466,0.096,0.555,3.88,0.1284769727485725,MW,12908,9496806
tama iowa,19171,Tama County,IA,16868,0.0407692307692307,0.148185420466696,0.1169999999999999,0.76,3.55,0.1511574057487892,MW,2550,1716017
