"Label (Grouping)","Total"
"    Margin of Error","*****"
"Ralls County, Missouri",""
"    Estimate","10,428"
"    Margin of Error","*****"
"Randolph County, Missouri",""
"    Estimate","24,365"
"    Margin of Error","*****"
"Ray County, Missouri",""
"    Estimate","23,145"
"    Margin of Error","*****"
"Reynolds County, Missouri",""
"    Estimate","6,010"
"    Margin of Error","*****"
"Ripley County, Missouri",""
"    Estimate","10,708"
"    Margin of Error","*****"
"St. Charles County, Missouri",""
"    Estimate","414,535"
"    Margin of Error","*****"
"St. Clair County, Missouri",""
"    Estimate","9,587"
"    Margin of Error","*****"
"Ste. Genevieve County, Missouri",""
"    Estimate","18,571"
"    Margin of Error","*****"
"St. Francois County, Missouri",""
"    Estimate","66,999"
"    Margin of Error","*****"
"St. Louis County, Missouri",""
"    Estimate","995,569"
"    Margin of Error","*****"
"Saline County, Missouri",""
"    Estimate","23,231"
"    Margin of Error","*****"
"Schuyler County, Missouri",""
"    Estimate","4,038"
"    Margin of Error","*****"
"Scotland County, Missouri",""
"    Estimate","4,686"
"    Margin of Error","*****"
"Scott County, Missouri",""
"    Estimate","37,933"
"    Margin of Error","*****"
"Shannon County, Missouri",""
"    Estimate","7,177"
"    Margin of Error","*****"
"Shelby County, Missouri",""
"    Estimate","5,986"
"    Margin of Error","*****"
"Stoddard County, Missouri",""
"    Estimate","28,470"
"    Margin of Error","*****"
"Stone County, Missouri",""
"    Estimate","32,048"
"    Margin of Error","*****"
"Sullivan County, Missouri",""
"    Estimate","5,857"
"    Margin of Error","*****"
"Taney County, Missouri",""
"    Estimate","56,529"
"    Margin of Error","*****"
"Texas County, Missouri",""
"    Estimate","25,161"
"    Margin of Error","*****"
"Vernon County, Missouri",""
"    Estimate","19,687"
"    Margin of Error","*****"
"Warren County, Missouri",""
"    Estimate","37,177"
"    Margin of Error","*****"
"Washington County, Missouri",""
"    Estimate","23,470"
"    Margin of Error","*****"
"Wayne County, Missouri",""
"    Estimate","10,862"
"    Margin of Error","*****"
"Webster County, Missouri",""
"    Estimate","40,500"
"    Margin of Error","*****"
"Worth County, Missouri",""
"    Estimate","1,934"
"    Margin of Error","*****"
"Wright County, Missouri",""
"    Estimate","18,965"
"    Margin of Error","*****"
"St. Louis city, Missouri",""
"    Estimate","288,512"
"    Margin of Error","*****"
"Beaverhead County, Montana",""
"    Estimate","9,713"
"    Margin of Error","*****"
"Big Horn County, Montana",""
"    Estimate","12,891"
"    Margin of Error","*****"
"Blaine County, Montana",""
"    Estimate","6,949"
"    Margin of Error","*****"
"Broadwater County, Montana",""
"    Estimate","7,668"
"    Margin of Error","*****"
"Carbon County, Montana",""
"    Estimate","11,116"
"    Margin of Error","*****"
"Carter County, Montana",""
"    Estimate","1,308"
"    Margin of Error","±136"
"Cascade County, Montana",""
"    Estimate","84,606"
"    Margin of Error","*****"
"Chouteau County, Montana",""
"    Estimate","5,906"
"    Margin of Error","*****"
"Custer County, Montana",""
"    Estimate","11,961"
"    Margin of Error","*****"
"Daniels County, Montana",""
"    Estimate","1,494"
"    Margin of Error","±188"
"Dawson County, Montana",""
"    Estimate","8,827"
"    Margin of Error","*****"
"Deer Lodge County, Montana",""
"    Estimate","9,597"
"    Margin of Error","*****"
"Fallon County, Montana",""
"    Estimate","2,760"
"    Margin of Error","±182"
"Fergus County, Montana",""
"    Estimate","11,687"
"    Margin of Error","*****"
"Flathead County, Montana",""
"    Estimate","110,695"
"    Margin of Error","*****"
"Gallatin County, Montana",""
"    Estimate","124,074"
"    Margin of Error","*****"
"Garfield County, Montana",""
"    Estimate","1,094"
"    Margin of Error","±127"
"Glacier County, Montana",""
"    Estimate","13,637"
"    Margin of Error","*****"
"Golden Valley County, Montana",""
"    Estimate","899"
"    Margin of Error","±128"
"Granite County, Montana",""
"    Estimate","3,462"
"    Margin of Error","*****"
"Hill County, Montana",""
"    Estimate","16,155"
"    Margin of Error","*****"
"Jefferson County, Montana",""
"    Estimate","12,774"
"    Margin of Error","*****"
"Judith Basin County, Montana",""
"    Estimate","2,071"
"    Margin of Error","*****"
"Lake County, Montana",""
"    Estimate","32,561"
"    Margin of Error","*****"
"Lewis and Clark County, Montana",""
"    Estimate","73,464"
"    Margin of Error","*****"
"Liberty County, Montana",""
"    Estimate","1,952"
"    Margin of Error","*****"
"Lincoln County, Montana",""
"    Estimate","21,175"
"    Margin of Error","*****"
"McCone County, Montana",""
"    Estimate","1,670"
"    Margin of Error","±128"
"Madison County, Montana",""
"    Estimate","9,223"
"    Margin of Error","*****"
"Meagher County, Montana",""
"    Estimate","2,007"
"    Margin of Error","*****"
"Mineral County, Montana",""
"    Estimate","4,959"
"    Margin of Error","*****"
"Missoula County, Montana",""
"    Estimate","120,672"
"    Margin of Error","*****"
"Musselshell County, Montana",""
"    Estimate","5,152"
"    Margin of Error","±173"
"Park County, Montana",""
"    Estimate","17,710"
"    Margin of Error","*****"
"Petroleum County, Montana",""
"    Estimate","447"
"    Margin of Error","±105"
"Phillips County, Montana",""
"    Estimate","4,221"
"    Margin of Error","*****"
"Pondera County, Montana",""
"    Estimate","6,035"
"    Margin of Error","*****"
"Powder River County, Montana",""
"    Estimate","1,815"
"    Margin of Error","±136"
"Powell County, Montana",""
"    Estimate","7,053"
"    Margin of Error","*****"
"Prairie County, Montana",""
"    Estimate","1,250"
"    Margin of Error","±148"
"Ravalli County, Montana",""
"    Estimate","46,727"
"    Margin of Error","*****"
"Richland County, Montana",""
"    Estimate","11,235"
"    Margin of Error","*****"
"Roosevelt County, Montana",""
"    Estimate","10,526"
"    Margin of Error","*****"
"Rosebud County, Montana",""
"    Estimate","8,165"
"    Margin of Error","*****"
"Sanders County, Montana",""
"    Estimate","13,285"
"    Margin of Error","*****"
"Sheridan County, Montana",""
"    Estimate","3,669"
"    Margin of Error","±188"
"Silver Bow County, Montana",""
"    Estimate","35,785"
"    Margin of Error","*****"
"Stillwater County, Montana",""
"    Estimate","9,182"
"    Margin of Error","*****"
"Sweet Grass County, Montana",""
"    Estimate","3,720"
"    Margin of Error","*****"
"Teton County, Montana",""
"    Estimate","6,353"
"    Margin of Error","*****"
"Toole County, Montana",""
"    Estimate","5,061"
"    Margin of Error","*****"
"Treasure County, Montana",""
"    Estimate","732"
"    Margin of Error","±134"
"Valley County, Montana",""
"    Estimate","7,519"
"    Margin of Error","*****"
"Wheatland County, Montana",""
"    Estimate","2,056"
"    Margin of Error","*****"
"Wibaux County, Montana",""
"    Estimate","1,193"
"    Margin of Error","±163"
"Yellowstone County, Montana",""
"    Estimate","168,957"
"    Margin of Error","*****"
"Adams County, Nebraska",""
"    Estimate","31,052"
"    Margin of Error","*****"
"Antelope County, Nebraska",""
"    Estimate","6,305"
"    Margin of Error","*****"
"Arthur County, Nebraska",""
"    Estimate","484"
"    Margin of Error","±99"
"Banner County, Nebraska",""
"    Estimate","742"
"    Margin of Error","±131"
"Blaine County, Nebraska",""
"    Estimate","422"
"    Margin of Error","±64"
"Boone County, Nebraska",""
"    Estimate","5,356"
"    Margin of Error","*****"
"Box Butte County, Nebraska",""
"    Estimate","10,714"
"    Margin of Error","*****"
"Boyd County, Nebraska",""
"    Estimate","1,688"
"    Margin of Error","±92"
"Brown County, Nebraska",""
"    Estimate","2,869"
"    Margin of Error","±111"
"Buffalo County, Nebraska",""
"    Estimate","50,579"
"    Margin of Error","*****"
"Burt County, Nebraska",""
"    Estimate","6,740"
"    Margin of Error","*****"
"Butler County, Nebraska",""
"    Estimate","8,424"
"    Margin of Error","*****"
"Cass County, Nebraska",""
"    Estimate","27,161"
"    Margin of Error","*****"
"Cedar County, Nebraska",""
"    Estimate","8,315"
"    Margin of Error","*****"
"Chase County, Nebraska",""
"    Estimate","3,671"
"    Margin of Error","±179"
"Cherry County, Nebraska",""
"    Estimate","5,498"
"    Margin of Error","*****"
"Cheyenne County, Nebraska",""
"    Estimate","9,533"
"    Margin of Error","*****"
"Clay County, Nebraska",""
"    Estimate","6,095"
"    Margin of Error","*****"
"Colfax County, Nebraska",""
"    Estimate","10,641"
"    Margin of Error","*****"
"Cuming County, Nebraska",""
"    Estimate","8,975"
"    Margin of Error","*****"
"Custer County, Nebraska",""
"    Estimate","10,518"
"    Margin of Error","*****"
"Dakota County, Nebraska",""
"    Estimate","21,354"
"    Margin of Error","*****"
"Dawes County, Nebraska",""
"    Estimate","8,140"
"    Margin of Error","*****"
"Dawson County, Nebraska",""
"    Estimate","24,202"
"    Margin of Error","*****"
"Deuel County, Nebraska",""
"    Estimate","1,847"
"    Margin of Error","±161"
"Dixon County, Nebraska",""
"    Estimate","5,545"
"    Margin of Error","*****"
"Dodge County, Nebraska",""
"    Estimate","37,351"
"    Margin of Error","*****"
"Douglas County, Nebraska",""
"    Estimate","590,736"
"    Margin of Error","*****"
"Dundy County, Nebraska",""
"    Estimate","1,736"
"    Margin of Error","±179"
"Fillmore County, Nebraska",""
"    Estimate","5,541"
"    Margin of Error","*****"
"Franklin County, Nebraska",""
"    Estimate","2,846"
"    Margin of Error","*****"
"Frontier County, Nebraska",""
"    Estimate","2,569"
"    Margin of Error","±82"
"Furnas County, Nebraska",""
"    Estimate","4,568"
"    Margin of Error","*****"
"Gage County, Nebraska",""
"    Estimate","21,629"
"    Margin of Error","*****"
"Garden County, Nebraska",""
"    Estimate","1,761"
"    Margin of Error","±166"
"Garfield County, Nebraska",""
"    Estimate","1,718"
"    Margin of Error","±123"
"Gosper County, Nebraska",""
"    Estimate","2,040"
"    Margin of Error","±156"
"Grant County, Nebraska",""
"    Estimate","626"
"    Margin of Error","±88"
"Greeley County, Nebraska",""
"    Estimate","2,202"
"    Margin of Error","*****"
"Hall County, Nebraska",""
"    Estimate","62,536"
"    Margin of Error","*****"
"Hamilton County, Nebraska",""
"    Estimate","9,464"
"    Margin of Error","*****"
"Harlan County, Nebraska",""
"    Estimate","2,847"
"    Margin of Error","±156"
"Hayes County, Nebraska",""
"    Estimate","843"
"    Margin of Error","±81"
"Hitchcock County, Nebraska",""
"    Estimate","2,569"
"    Margin of Error","*****"
"Holt County, Nebraska",""
"    Estimate","10,102"
"    Margin of Error","*****"
"Hooker County, Nebraska",""
"    Estimate","647"
"    Margin of Error","±73"
"Howard County, Nebraska",""
"    Estimate","6,534"
"    Margin of Error","*****"
"Jefferson County, Nebraska",""
"    Estimate","7,161"
"    Margin of Error","*****"
"Johnson County, Nebraska",""
"    Estimate","5,261"
"    Margin of Error","*****"
"Kearney County, Nebraska",""
"    Estimate","6,713"
"    Margin of Error","*****"
"Keith County, Nebraska",""
"    Estimate","8,219"
"    Margin of Error","*****"
"Keya Paha County, Nebraska",""
"    Estimate","822"
"    Margin of Error","±111"
"Kimball County, Nebraska",""
"    Estimate","3,248"
"    Margin of Error","±171"
"Knox County, Nebraska",""
"    Estimate","8,363"
"    Margin of Error","*****"
"Lancaster County, Nebraska",""
"    Estimate","326,696"
"    Margin of Error","*****"
"Lincoln County, Nebraska",""
"    Estimate","33,802"
"    Margin of Error","*****"
"Logan County, Nebraska",""
"    Estimate","773"
"    Margin of Error","±85"
"Loup County, Nebraska",""
"    Estimate","578"
"    Margin of Error","±95"
"McPherson County, Nebraska",""
"    Estimate","475"
"    Margin of Error","±78"
"Madison County, Nebraska",""
"    Estimate","35,532"
"    Margin of Error","*****"
"Merrick County, Nebraska",""
"    Estimate","7,724"
"    Margin of Error","*****"
"Morrill County, Nebraska",""
"    Estimate","4,534"
"    Margin of Error","*****"
"Nance County, Nebraska",""
"    Estimate","3,324"
"    Margin of Error","*****"
"Nemaha County, Nebraska",""
"    Estimate","7,046"
"    Margin of Error","*****"
"Nuckolls County, Nebraska",""
"    Estimate","4,087"
"    Margin of Error","*****"
"Otoe County, Nebraska",""
"    Estimate","16,241"
"    Margin of Error","*****"
"Pawnee County, Nebraska",""
"    Estimate","2,530"
"    Margin of Error","*****"
"Perkins County, Nebraska",""
"    Estimate","2,821"
"    Margin of Error","*****"
"Phelps County, Nebraska",""
"    Estimate","9,009"
"    Margin of Error","*****"
"Pierce County, Nebraska",""
"    Estimate","7,325"
"    Margin of Error","*****"
"Platte County, Nebraska",""
"    Estimate","34,716"
"    Margin of Error","*****"
"Polk County, Nebraska",""
"    Estimate","5,225"
"    Margin of Error","*****"
"Red Willow County, Nebraska",""
"    Estimate","10,557"
"    Margin of Error","*****"
"Richardson County, Nebraska",""
"    Estimate","7,751"
"    Margin of Error","*****"
"Rock County, Nebraska",""
"    Estimate","1,319"
"    Margin of Error","±92"
"Saline County, Nebraska",""
"    Estimate","14,650"
"    Margin of Error","*****"
"Sarpy County, Nebraska",""
"    Estimate","197,389"
"    Margin of Error","*****"
"Saunders County, Nebraska",""
"    Estimate","23,048"
"    Margin of Error","*****"
"Scotts Bluff County, Nebraska",""
"    Estimate","35,843"
"    Margin of Error","*****"
"Seward County, Nebraska",""
"    Estimate","17,641"
"    Margin of Error","*****"
"Sheridan County, Nebraska",""
"    Estimate","5,014"
"    Margin of Error","*****"
"Sherman County, Nebraska",""
"    Estimate","2,967"
"    Margin of Error","*****"
"Sioux County, Nebraska",""
"    Estimate","1,171"
"    Margin of Error","±167"
"Stanton County, Nebraska",""
"    Estimate","5,796"
"    Margin of Error","*****"
"Thayer County, Nebraska",""
"    Estimate","4,901"
"    Margin of Error","*****"
"Thomas County, Nebraska",""
"    Estimate","564"
"    Margin of Error","±54"
"Thurston County, Nebraska",""
"    Estimate","6,627"
"    Margin of Error","*****"
"Valley County, Nebraska",""
"    Estimate","4,066"
"    Margin of Error","±95"
"Washington County, Nebraska",""
"    Estimate","21,106"
"    Margin of Error","*****"
"Wayne County, Nebraska",""
"    Estimate","9,844"
"    Margin of Error","*****"
"Webster County, Nebraska",""
"    Estimate","3,360"
"    Margin of Error","*****"
"Wheeler County, Nebraska",""
"    Estimate","847"
"    Margin of Error","±123"
"York County, Nebraska",""
"    Estimate","14,286"
"    Margin of Error","*****"
"Churchill County, Nevada",""
"    Estimate","25,805"
"    Margin of Error","*****"
"Clark County, Nevada",""
"    Estimate","2,329,548"
"    Margin of Error","*****"
"Douglas County, Nevada",""
"    Estimate","49,623"
"    Margin of Error","*****"
"Elko County, Nevada",""
"    Estimate","54,047"
"    Margin of Error","*****"
"Esmeralda County, Nevada",""
"    Estimate","1,028"
"    Margin of Error","±258"
"Eureka County, Nevada",""
"    Estimate","1,585"
"    Margin of Error","±258"
"Humboldt County, Nevada",""
"    Estimate","17,289"
"    Margin of Error","*****"
"Lander County, Nevada",""
"    Estimate","5,770"
"    Margin of Error","*****"
"Lincoln County, Nevada",""
"    Estimate","4,405"
"    Margin of Error","*****"
"Lyon County, Nevada",""
"    Estimate","61,680"
"    Margin of Error","*****"
"Mineral County, Nevada",""
"    Estimate","4,542"
"    Margin of Error","*****"
"Nye County, Nevada",""
"    Estimate","54,344"
"    Margin of Error","*****"
"Pershing County, Nevada",""
"    Estimate","6,487"
"    Margin of Error","*****"
"Storey County, Nevada",""
"    Estimate","4,140"
"    Margin of Error","*****"
"Washoe County, Nevada",""
"    Estimate","497,200"
"    Margin of Error","*****"
"White Pine County, Nevada",""
"    Estimate","8,735"
"    Margin of Error","*****"
"Carson City, Nevada",""
"    Estimate","58,384"
"    Margin of Error","*****"
"Belknap County, New Hampshire",""
"    Estimate","64,659"
"    Margin of Error","*****"
"Carroll County, New Hampshire",""
"    Estimate","51,804"
"    Margin of Error","*****"
"Cheshire County, New Hampshire",""
"    Estimate","77,297"
"    Margin of Error","*****"
"Coos County, New Hampshire",""
"    Estimate","31,271"
"    Margin of Error","*****"
"Grafton County, New Hampshire",""
"    Estimate","92,120"
"    Margin of Error","*****"
"Hillsborough County, New Hampshire",""
"    Estimate","426,378"
"    Margin of Error","*****"
"Merrimack County, New Hampshire",""
"    Estimate","155,967"
"    Margin of Error","*****"
"Rockingham County, New Hampshire",""
"    Estimate","319,082"
"    Margin of Error","*****"
"Strafford County, New Hampshire",""
"    Estimate","132,575"
"    Margin of Error","*****"
"Sullivan County, New Hampshire",""
"    Estimate","43,715"
"    Margin of Error","*****"
"Atlantic County, New Jersey",""
"    Estimate","276,270"
"    Margin of Error","*****"
"Bergen County, New Jersey",""
"    Estimate","962,316"
"    Margin of Error","*****"
"Burlington County, New Jersey",""
"    Estimate","467,805"
"    Margin of Error","*****"
"Camden County, New Jersey",""
"    Estimate","527,257"
"    Margin of Error","*****"
"Cape May County, New Jersey",""
"    Estimate","94,941"
"    Margin of Error","*****"
"Cumberland County, New Jersey",""
"    Estimate","153,305"
"    Margin of Error","*****"
"Essex County, New Jersey",""
"    Estimate","863,002"
"    Margin of Error","*****"
"Gloucester County, New Jersey",""
"    Estimate","306,954"
"    Margin of Error","*****"
"Hudson County, New Jersey",""
"    Estimate","718,323"
"    Margin of Error","*****"
"Hunterdon County, New Jersey",""
"    Estimate","130,160"
"    Margin of Error","*****"
"Mercer County, New Jersey",""
"    Estimate","385,864"
"    Margin of Error","*****"
"Middlesex County, New Jersey",""
"    Estimate","871,290"
"    Margin of Error","*****"
"Monmouth County, New Jersey",""
"    Estimate","645,353"
"    Margin of Error","*****"
"Morris County, New Jersey",""
"    Estimate","514,528"
"    Margin of Error","*****"
"Ocean County, New Jersey",""
"    Estimate","654,362"
"    Margin of Error","*****"
"Passaic County, New Jersey",""
"    Estimate","521,012"
"    Margin of Error","*****"
"Salem County, New Jersey",""
"    Estimate","65,275"
"    Margin of Error","*****"
"Somerset County, New Jersey",""
"    Estimate","349,846"
"    Margin of Error","*****"
"Sussex County, New Jersey",""
"    Estimate","145,807"
"    Margin of Error","*****"
"Union County, New Jersey",""
"    Estimate","579,290"
"    Margin of Error","*****"
"Warren County, New Jersey",""
"    Estimate","110,849"
"    Margin of Error","*****"
"Bernalillo County, New Mexico",""
"    Estimate","673,930"
"    Margin of Error","*****"
"Catron County, New Mexico",""
"    Estimate","3,743"
"    Margin of Error","*****"
"Chaves County, New Mexico",""
"    Estimate","64,217"
"    Margin of Error","*****"
"Cibola County, New Mexico",""
"    Estimate","26,845"
"    Margin of Error","*****"
"Colfax County, New Mexico",""
"    Estimate","12,322"
"    Margin of Error","*****"
"Curry County, New Mexico",""
"    Estimate","47,638"
"    Margin of Error","*****"
"De Baca County, New Mexico",""
"    Estimate","1,576"
"    Margin of Error","±172"
"Doña Ana County, New Mexico",""
"    Estimate","224,266"
"    Margin of Error","*****"
"Eddy County, New Mexico",""
"    Estimate","61,105"
"    Margin of Error","*****"
"Grant County, New Mexico",""
"    Estimate","27,775"
"    Margin of Error","*****"
"Guadalupe County, New Mexico",""
"    Estimate","4,381"
"    Margin of Error","*****"
"Harding County, New Mexico",""
"    Estimate","741"
"    Margin of Error","±171"
"Hidalgo County, New Mexico",""
"    Estimate","4,041"
"    Margin of Error","*****"
"Lea County, New Mexico",""
"    Estimate","73,733"
"    Margin of Error","*****"
"Lincoln County, New Mexico",""
"    Estimate","20,224"
"    Margin of Error","*****"
"Los Alamos County, New Mexico",""
"    Estimate","19,435"
"    Margin of Error","*****"
"Luna County, New Mexico",""
"    Estimate","25,611"
"    Margin of Error","*****"
"McKinley County, New Mexico",""
"    Estimate","70,431"
"    Margin of Error","*****"
"Mora County, New Mexico",""
"    Estimate","4,149"
"    Margin of Error","*****"
"Otero County, New Mexico",""
"    Estimate","68,816"
"    Margin of Error","*****"
"Quay County, New Mexico",""
"    Estimate","8,564"
"    Margin of Error","*****"
"Rio Arriba County, New Mexico",""
"    Estimate","40,070"
"    Margin of Error","*****"
"Roosevelt County, New Mexico",""
"    Estimate","18,928"
"    Margin of Error","*****"
"Sandoval County, New Mexico",""
"    Estimate","153,604"
"    Margin of Error","*****"
"San Juan County, New Mexico",""
"    Estimate","120,942"
"    Margin of Error","*****"
"San Miguel County, New Mexico",""
"    Estimate","26,850"
"    Margin of Error","*****"
"Santa Fe County, New Mexico",""
"    Estimate","156,105"
"    Margin of Error","*****"
"Sierra County, New Mexico",""
"    Estimate","11,500"
"    Margin of Error","*****"
"Socorro County, New Mexico",""
"    Estimate","16,200"
"    Margin of Error","*****"
"Taos County, New Mexico",""
"    Estimate","34,543"
"    Margin of Error","*****"
"Torrance County, New Mexico",""
"    Estimate","15,490"
"    Margin of Error","*****"
"Union County, New Mexico",""
"    Estimate","4,013"
"    Margin of Error","*****"
"Valencia County, New Mexico",""
"    Estimate","78,458"
"    Margin of Error","*****"
"Albany County, New York",""
"    Estimate","317,018"
"    Margin of Error","*****"
"Allegany County, New York",""
"    Estimate","47,159"
"    Margin of Error","*****"
"Bronx County, New York",""
"    Estimate","1,404,779"
"    Margin of Error","*****"
"Broome County, New York",""
"    Estimate","197,378"
"    Margin of Error","*****"
"Cattaraugus County, New York",""
"    Estimate","76,145"
"    Margin of Error","*****"
"Cayuga County, New York",""
"    Estimate","75,102"
"    Margin of Error","*****"
"Chautauqua County, New York",""
"    Estimate","125,544"
"    Margin of Error","*****"
"Chemung County, New York",""
"    Estimate","82,147"
"    Margin of Error","*****"
"Chenango County, New York",""
"    Estimate","46,321"
"    Margin of Error","*****"
"Clinton County, New York",""
"    Estimate","78,493"
"    Margin of Error","*****"
"Columbia County, New York",""
"    Estimate","61,100"
"    Margin of Error","*****"
"Cortland County, New York",""
"    Estimate","46,246"
"    Margin of Error","*****"
"Delaware County, New York",""
"    Estimate","44,487"
"    Margin of Error","*****"
"Dutchess County, New York",""
"    Estimate","298,220"
"    Margin of Error","*****"
"Erie County, New York",""
"    Estimate","950,622"
"    Margin of Error","*****"
"Essex County, New York",""
"    Estimate","36,973"
"    Margin of Error","*****"
"Franklin County, New York",""
"    Estimate","46,696"
"    Margin of Error","*****"
"Fulton County, New York",""
"    Estimate","52,487"
"    Margin of Error","*****"
"Genesee County, New York",""
"    Estimate","57,787"
"    Margin of Error","*****"
"Greene County, New York",""
"    Estimate","47,409"
"    Margin of Error","*****"
"Hamilton County, New York",""
"    Estimate","5,089"
"    Margin of Error","*****"
"Herkimer County, New York",""
"    Estimate","59,757"
"    Margin of Error","*****"
"Jefferson County, New York",""
"    Estimate","115,040"
"    Margin of Error","*****"
"Kings County, New York",""
"    Estimate","2,631,580"
"    Margin of Error","*****"
"Lewis County, New York",""
"    Estimate","26,607"
"    Margin of Error","*****"
"Livingston County, New York",""
"    Estimate","61,498"
"    Margin of Error","*****"
"Madison County, New York",""
"    Estimate","67,328"
"    Margin of Error","*****"
"Monroe County, New York",""
"    Estimate","753,753"
"    Margin of Error","*****"
"Montgomery County, New York",""
"    Estimate","49,528"
"    Margin of Error","*****"
"Nassau County, New York",""
"    Estimate","1,389,591"
"    Margin of Error","*****"
"New York County, New York",""
"    Estimate","1,629,477"
"    Margin of Error","*****"
"Niagara County, New York",""
"    Estimate","210,721"
"    Margin of Error","*****"
"Oneida County, New York",""
"    Estimate","229,124"
"    Margin of Error","*****"
"Onondaga County, New York",""
"    Estimate","471,129"
"    Margin of Error","*****"
"Ontario County, New York",""
"    Estimate","112,625"
"    Margin of Error","*****"
"Orange County, New York",""
"    Estimate","406,616"
"    Margin of Error","*****"
"Orleans County, New York",""
"    Estimate","39,608"
"    Margin of Error","*****"
"Oswego County, New York",""
"    Estimate","117,953"
"    Margin of Error","*****"
"Otsego County, New York",""
"    Estimate","60,108"
"    Margin of Error","*****"
"Putnam County, New York",""
"    Estimate","98,107"
"    Margin of Error","*****"
"Queens County, New York",""
"    Estimate","2,323,052"
"    Margin of Error","*****"
"Rensselaer County, New York",""
"    Estimate","160,332"
"    Margin of Error","*****"
"Richmond County, New York",""
"    Estimate","494,956"
"    Margin of Error","*****"
"Rockland County, New York",""
"    Estimate","341,883"
"    Margin of Error","*****"
"St. Lawrence County, New York",""
"    Estimate","107,226"
"    Margin of Error","*****"
"Saratoga County, New York",""
"    Estimate","238,284"
"    Margin of Error","*****"
"Schenectady County, New York",""
"    Estimate","160,369"
"    Margin of Error","*****"
"Schoharie County, New York",""
"    Estimate","30,049"
"    Margin of Error","*****"
"Schuyler County, New York",""
"    Estimate","17,562"
"    Margin of Error","*****"
"Seneca County, New York",""
"    Estimate","32,920"
"    Margin of Error","*****"
"Steuben County, New York",""
"    Estimate","92,588"
"    Margin of Error","*****"
"Suffolk County, New York",""
"    Estimate","1,530,146"
"    Margin of Error","*****"
"Sullivan County, New York",""
"    Estimate","79,721"
"    Margin of Error","*****"
"Tioga County, New York",""
"    Estimate","47,864"
"    Margin of Error","*****"
"Tompkins County, New York",""
"    Estimate","104,537"
"    Margin of Error","*****"
"Ulster County, New York",""
"    Estimate","182,601"
"    Margin of Error","*****"
"Warren County, New York",""
"    Estimate","65,517"
"    Margin of Error","*****"
"Washington County, New York",""
"    Estimate","60,522"
"    Margin of Error","*****"
"Wayne County, New York",""
"    Estimate","90,929"
"    Margin of Error","*****"
"Westchester County, New York",""
"    Estimate","999,677"
"    Margin of Error","*****"
"Wyoming County, New York",""
"    Estimate","39,753"
"    Margin of Error","*****"
"Yates County, New York",""
"    Estimate","24,526"
"    Margin of Error","*****"
"Alamance County, North Carolina",""
"    Estimate","176,893"
"    Margin of Error","*****"
"Alexander County, North Carolina",""
"    Estimate","36,412"
"    Margin of Error","*****"
"Alleghany County, North Carolina",""
"    Estimate","11,174"
"    Margin of Error","*****"
"Anson County, North Carolina",""
"    Estimate","22,289"
"    Margin of Error","*****"
"Ashe County, North Carolina",""
"    Estimate","26,950"
"    Margin of Error","*****"
"Avery County, North Carolina",""
"    Estimate","17,680"
"    Margin of Error","*****"
"Beaufort County, North Carolina",""
"    Estimate","44,499"
"    Margin of Error","*****"
"Bertie County, North Carolina",""
"    Estimate","17,170"
"    Margin of Error","*****"
"Bladen County, North Carolina",""
"    Estimate","29,566"
"    Margin of Error","*****"
"Brunswick County, North Carolina",""
"    Estimate","152,568"
"    Margin of Error","*****"
"Buncombe County, North Carolina",""
"    Estimate","274,360"
"    Margin of Error","*****"
"Burke County, North Carolina",""
"    Estimate","87,795"
"    Margin of Error","*****"
"Cabarrus County, North Carolina",""
"    Estimate","236,133"
"    Margin of Error","*****"
"Caldwell County, North Carolina",""
"    Estimate","80,536"
"    Margin of Error","*****"
"Camden County, North Carolina",""
"    Estimate","10,927"
"    Margin of Error","*****"
"Carteret County, North Carolina",""
"    Estimate","69,148"
"    Margin of Error","*****"
"Caswell County, North Carolina",""
"    Estimate","22,404"
"    Margin of Error","*****"
"Catawba County, North Carolina",""
"    Estimate","163,573"
"    Margin of Error","*****"
"Chatham County, North Carolina",""
"    Estimate","80,151"
"    Margin of Error","*****"
"Cherokee County, North Carolina",""
"    Estimate","29,562"
"    Margin of Error","*****"
"Chowan County, North Carolina",""
"    Estimate","13,836"
"    Margin of Error","*****"
"Clay County, North Carolina",""
"    Estimate","11,610"
"    Margin of Error","*****"
"Cleveland County, North Carolina",""
"    Estimate","100,991"
"    Margin of Error","*****"
"Columbus County, North Carolina",""
"    Estimate","50,140"
"    Margin of Error","*****"
"Craven County, North Carolina",""
"    Estimate","102,612"
"    Margin of Error","*****"
"Cumberland County, North Carolina",""
"    Estimate","338,545"
"    Margin of Error","*****"
"Currituck County, North Carolina",""
"    Estimate","30,601"
"    Margin of Error","*****"
"Dare County, North Carolina",""
"    Estimate","37,875"
"    Margin of Error","*****"
"Davidson County, North Carolina",""
"    Estimate","172,954"
"    Margin of Error","*****"
"Davie County, North Carolina",""
"    Estimate","44,122"
"    Margin of Error","*****"
"Duplin County, North Carolina",""
"    Estimate","49,335"
"    Margin of Error","*****"
"Durham County, North Carolina",""
"    Estimate","332,353"
"    Margin of Error","*****"
"Edgecombe County, North Carolina",""
"    Estimate","48,736"
"    Margin of Error","*****"
"Forsyth County, North Carolina",""
"    Estimate","389,977"
"    Margin of Error","*****"
"Franklin County, North Carolina",""
"    Estimate","74,386"
"    Margin of Error","*****"
"Gaston County, North Carolina",""
"    Estimate","234,881"
"    Margin of Error","*****"
