"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"    Percent","77.2%"
"Howard County, Missouri",""
"    Estimate","2,821"
"    Percent","78.7%"
"Howell County, Missouri",""
"    Estimate","11,223"
"    Percent","70.3%"
"Iron County, Missouri",""
"    Estimate","2,900"
"    Percent","75.1%"
"Jackson County, Missouri",""
"    Estimate","181,443"
"    Percent","59.1%"
"Jasper County, Missouri",""
"    Estimate","31,079"
"    Percent","62.8%"
"Jefferson County, Missouri",""
"    Estimate","72,617"
"    Percent","82.2%"
"Johnson County, Missouri",""
"    Estimate","13,391"
"    Percent","63.5%"
"Knox County, Missouri",""
"    Estimate","1,096"
"    Percent","85.1%"
"Laclede County, Missouri",""
"    Estimate","9,930"
"    Percent","68.2%"
"Lafayette County, Missouri",""
"    Estimate","9,526"
"    Percent","75.7%"
"Lawrence County, Missouri",""
"    Estimate","10,785"
"    Percent","73.9%"
"Lewis County, Missouri",""
"    Estimate","2,430"
"    Percent","76.3%"
"Lincoln County, Missouri",""
"    Estimate","18,030"
"    Percent","79.0%"
"Linn County, Missouri",""
"    Estimate","3,770"
"    Percent","78.5%"
"Livingston County, Missouri",""
"    Estimate","4,055"
"    Percent","72.3%"
"McDonald County, Missouri",""
"    Estimate","5,763"
"    Percent","67.3%"
"Macon County, Missouri",""
"    Estimate","4,661"
"    Percent","76.8%"
"Madison County, Missouri",""
"    Estimate","3,450"
"    Percent","73.7%"
"Maries County, Missouri",""
"    Estimate","2,685"
"    Percent","78.3%"
"Marion County, Missouri",""
"    Estimate","7,847"
"    Percent","69.3%"
"Mercer County, Missouri",""
"    Estimate","1,055"
"    Percent","81.0%"
"Miller County, Missouri",""
"    Estimate","7,280"
"    Percent","73.9%"
"Mississippi County, Missouri",""
"    Estimate","2,821"
"    Percent","62.9%"
"Moniteau County, Missouri",""
"    Estimate","4,535"
"    Percent","79.2%"
"Monroe County, Missouri",""
"    Estimate","2,577"
"    Percent","74.3%"
"Montgomery County, Missouri",""
"    Estimate","3,408"
"    Percent","73.4%"
"Morgan County, Missouri",""
"    Estimate","6,931"
"    Percent","79.7%"
"New Madrid County, Missouri",""
"    Estimate","4,300"
"    Percent","64.2%"
"Newton County, Missouri",""
"    Estimate","16,956"
"    Percent","76.6%"
"Nodaway County, Missouri",""
"    Estimate","5,270"
"    Percent","62.3%"
"Oregon County, Missouri",""
"    Estimate","2,533"
"    Percent","74.9%"
"Osage County, Missouri",""
"    Estimate","4,199"
"    Percent","79.4%"
"Ozark County, Missouri",""
"    Estimate","3,045"
"    Percent","82.1%"
"Pemiscot County, Missouri",""
"    Estimate","3,520"
"    Percent","55.6%"
"Perry County, Missouri",""
"    Estimate","5,758"
"    Percent","76.5%"
"Pettis County, Missouri",""
"    Estimate","11,751"
"    Percent","69.1%"
"Phelps County, Missouri",""
"    Estimate","10,689"
"    Percent","61.7%"
"Pike County, Missouri",""
"    Estimate","4,709"
"    Percent","73.3%"
"Platte County, Missouri",""
"    Estimate","29,573"
"    Percent","67.4%"
"Polk County, Missouri",""
"    Estimate","8,636"
"    Percent","71.6%"
"Pulaski County, Missouri",""
"    Estimate","10,306"
"    Percent","61.2%"
"Putnam County, Missouri",""
"    Estimate","1,487"
"    Percent","83.0%"
"Ralls County, Missouri",""
"    Estimate","3,395"
"    Percent","85.5%"
"Randolph County, Missouri",""
"    Estimate","6,601"
"    Percent","71.4%"
"Ray County, Missouri",""
"    Estimate","7,043"
"    Percent","77.3%"
"Reynolds County, Missouri",""
"    Estimate","1,864"
"    Percent","79.8%"
"Ripley County, Missouri",""
"    Estimate","3,166"
"    Percent","79.1%"
"St. Charles County, Missouri",""
"    Estimate","129,898"
"    Percent","80.5%"
"St. Clair County, Missouri",""
"    Estimate","3,093"
"    Percent","76.0%"
"Ste. Genevieve County, Missouri",""
"    Estimate","5,921"
"    Percent","83.0%"
"St. Francois County, Missouri",""
"    Estimate","16,925"
"    Percent","68.2%"
"St. Louis County, Missouri",""
"    Estimate","286,530"
"    Percent","69.2%"
"Saline County, Missouri",""
"    Estimate","5,622"
"    Percent","69.8%"
"Schuyler County, Missouri",""
"    Estimate","1,044"
"    Percent","79.9%"
"Scotland County, Missouri",""
"    Estimate","1,277"
"    Percent","82.4%"
"Scott County, Missouri",""
"    Estimate","10,897"
"    Percent","71.1%"
"Shannon County, Missouri",""
"    Estimate","2,304"
"    Percent","79.9%"
"Shelby County, Missouri",""
"    Estimate","1,853"
"    Percent","77.5%"
"Stoddard County, Missouri",""
"    Estimate","8,320"
"    Percent","71.8%"
"Stone County, Missouri",""
"    Estimate","11,269"
"    Percent","83.3%"
"Sullivan County, Missouri",""
"    Estimate","1,533"
"    Percent","75.1%"
"Taney County, Missouri",""
"    Estimate","15,275"
"    Percent","67.0%"
"Texas County, Missouri",""
"    Estimate","7,338"
"    Percent","77.2%"
"Vernon County, Missouri",""
"    Estimate","5,528"
"    Percent","71.3%"
"Warren County, Missouri",""
"    Estimate","11,110"
"    Percent","80.2%"
"Washington County, Missouri",""
"    Estimate","6,994"
"    Percent","78.4%"
"Wayne County, Missouri",""
"    Estimate","3,471"
"    Percent","75.1%"
"Webster County, Missouri",""
"    Estimate","10,815"
"    Percent","77.4%"
"Worth County, Missouri",""
"    Estimate","695"
"    Percent","82.1%"
"Wright County, Missouri",""
"    Estimate","5,543"
"    Percent","77.1%"
"St. Louis city, Missouri",""
"    Estimate","65,612"
"    Percent","45.3%"
"Beaverhead County, Montana",""
"    Estimate","2,766"
"    Percent","65.8%"
"Big Horn County, Montana",""
"    Estimate","2,553"
"    Percent","66.7%"
"Blaine County, Montana",""
"    Estimate","1,498"
"    Percent","65.7%"
"Broadwater County, Montana",""
"    Estimate","2,479"
"    Percent","87.8%"
"Carbon County, Montana",""
"    Estimate","3,638"
"    Percent","78.0%"
"Carter County, Montana",""
"    Estimate","373"
"    Percent","62.2%"
"Cascade County, Montana",""
"    Estimate","24,408"
"    Percent","68.5%"
"Chouteau County, Montana",""
"    Estimate","1,472"
"    Percent","68.2%"
"Custer County, Montana",""
"    Estimate","3,520"
"    Percent","69.9%"
"Daniels County, Montana",""
"    Estimate","610"
"    Percent","83.1%"
"Dawson County, Montana",""
"    Estimate","2,599"
"    Percent","71.9%"
"Deer Lodge County, Montana",""
"    Estimate","3,267"
"    Percent","73.0%"
"Fallon County, Montana",""
"    Estimate","818"
"    Percent","69.4%"
"Fergus County, Montana",""
"    Estimate","3,360"
"    Percent","63.4%"
"Flathead County, Montana",""
"    Estimate","32,008"
"    Percent","72.4%"
"Gallatin County, Montana",""
"    Estimate","31,270"
"    Percent","61.1%"
"Garfield County, Montana",""
"    Estimate","312"
"    Percent","72.2%"
"Glacier County, Montana",""
"    Estimate","2,734"
"    Percent","63.7%"
"Golden Valley County, Montana",""
"    Estimate","305"
"    Percent","81.1%"
"Granite County, Montana",""
"    Estimate","1,179"
"    Percent","77.9%"
"Hill County, Montana",""
"    Estimate","4,101"
"    Percent","66.1%"
"Jefferson County, Montana",""
"    Estimate","4,206"
"    Percent","84.2%"
"Judith Basin County, Montana",""
"    Estimate","667"
"    Percent","72.7%"
"Lake County, Montana",""
"    Estimate","9,438"
"    Percent","75.0%"
"Lewis and Clark County, Montana",""
"    Estimate","21,877"
"    Percent","70.1%"
"Liberty County, Montana",""
"    Estimate","459"
"    Percent","63.4%"
"Lincoln County, Montana",""
"    Estimate","7,050"
"    Percent","77.6%"
"McCone County, Montana",""
"    Estimate","717"
"    Percent","89.8%"
"Madison County, Montana",""
"    Estimate","3,028"
"    Percent","81.0%"
"Meagher County, Montana",""
"    Estimate","699"
"    Percent","75.4%"
"Mineral County, Montana",""
"    Estimate","1,744"
"    Percent","81.1%"
"Missoula County, Montana",""
"    Estimate","30,978"
"    Percent","58.8%"
"Musselshell County, Montana",""
"    Estimate","1,827"
"    Percent","85.1%"
"Park County, Montana",""
"    Estimate","5,810"
"    Percent","69.4%"
"Petroleum County, Montana",""
"    Estimate","161"
"    Percent","72.9%"
"Phillips County, Montana",""
"    Estimate","1,298"
"    Percent","73.5%"
"Pondera County, Montana",""
"    Estimate","1,536"
"    Percent","67.7%"
"Powder River County, Montana",""
"    Estimate","558"
"    Percent","78.8%"
"Powell County, Montana",""
"    Estimate","1,764"
"    Percent","72.5%"
"Prairie County, Montana",""
"    Estimate","457"
"    Percent","83.9%"
"Ravalli County, Montana",""
"    Estimate","14,812"
"    Percent","79.4%"
"Richland County, Montana",""
"    Estimate","2,968"
"    Percent","67.1%"
"Roosevelt County, Montana",""
"    Estimate","2,059"
"    Percent","66.6%"
"Rosebud County, Montana",""
"    Estimate","1,954"
"    Percent","63.6%"
"Sanders County, Montana",""
"    Estimate","4,431"
"    Percent","81.3%"
"Sheridan County, Montana",""
"    Estimate","1,060"
"    Percent","71.8%"
"Silver Bow County, Montana",""
"    Estimate","10,920"
"    Percent","70.8%"
"Stillwater County, Montana",""
"    Estimate","3,159"
"    Percent","82.9%"
"Sweet Grass County, Montana",""
"    Estimate","1,237"
"    Percent","79.7%"
"Teton County, Montana",""
"    Estimate","1,865"
"    Percent","75.5%"
"Toole County, Montana",""
"    Estimate","1,169"
"    Percent","63.1%"
"Treasure County, Montana",""
"    Estimate","246"
"    Percent","68.3%"
"Valley County, Montana",""
"    Estimate","2,316"
"    Percent","78.5%"
"Wheatland County, Montana",""
"    Estimate","667"
"    Percent","75.5%"
"Wibaux County, Montana",""
"    Estimate","334"
"    Percent","72.5%"
"Yellowstone County, Montana",""
"    Estimate","48,659"
"    Percent","69.6%"
"Adams County, Nebraska",""
"    Estimate","9,120"
"    Percent","69.7%"
"Antelope County, Nebraska",""
"    Estimate","2,083"
"    Percent","79.0%"
"Arthur County, Nebraska",""
"    Estimate","149"
"    Percent","80.5%"
"Banner County, Nebraska",""
"    Estimate","207"
"    Percent","67.9%"
"Blaine County, Nebraska",""
"    Estimate","145"
"    Percent","73.6%"
"Boone County, Nebraska",""
"    Estimate","1,794"
"    Percent","81.9%"
"Box Butte County, Nebraska",""
"    Estimate","3,461"
"    Percent","76.8%"
"Boyd County, Nebraska",""
"    Estimate","637"
"    Percent","85.6%"
"Brown County, Nebraska",""
"    Estimate","946"
"    Percent","74.2%"
"Buffalo County, Nebraska",""
"    Estimate","13,269"
"    Percent","66.4%"
"Burt County, Nebraska",""
"    Estimate","2,198"
"    Percent","75.0%"
"Butler County, Nebraska",""
"    Estimate","2,815"
"    Percent","79.9%"
"Cass County, Nebraska",""
"    Estimate","9,254"
"    Percent","85.4%"
"Cedar County, Nebraska",""
"    Estimate","2,740"
"    Percent","79.6%"
"Chase County, Nebraska",""
"    Estimate","1,167"
"    Percent","79.1%"
"Cherry County, Nebraska",""
"    Estimate","1,370"
"    Percent","61.4%"
"Cheyenne County, Nebraska",""
"    Estimate","2,979"
"    Percent","66.7%"
"Clay County, Nebraska",""
"    Estimate","2,040"
"    Percent","81.9%"
"Colfax County, Nebraska",""
"    Estimate","2,830"
"    Percent","76.3%"
"Cuming County, Nebraska",""
"    Estimate","2,624"
"    Percent","68.9%"
"Custer County, Nebraska",""
"    Estimate","3,104"
"    Percent","68.9%"
"Dakota County, Nebraska",""
"    Estimate","4,767"
"    Percent","63.9%"
"Dawes County, Nebraska",""
"    Estimate","2,133"
"    Percent","61.8%"
"Dawson County, Nebraska",""
"    Estimate","6,068"
"    Percent","66.4%"
"Deuel County, Nebraska",""
"    Estimate","683"
"    Percent","81.6%"
"Dixon County, Nebraska",""
"    Estimate","1,674"
"    Percent","76.5%"
"Dodge County, Nebraska",""
"    Estimate","10,150"
"    Percent","66.9%"
"Douglas County, Nebraska",""
"    Estimate","146,697"
"    Percent","61.5%"
"Dundy County, Nebraska",""
"    Estimate","573"
"    Percent","73.6%"
"Fillmore County, Nebraska",""
"    Estimate","1,895"
"    Percent","80.4%"
"Franklin County, Nebraska",""
"    Estimate","1,076"
"    Percent","83.2%"
"Frontier County, Nebraska",""
"    Estimate","795"
"    Percent","74.0%"
"Furnas County, Nebraska",""
"    Estimate","1,534"
"    Percent","76.3%"
"Gage County, Nebraska",""
"    Estimate","6,858"
"    Percent","73.5%"
"Garden County, Nebraska",""
"    Estimate","675"
"    Percent","78.7%"
"Garfield County, Nebraska",""
"    Estimate","533"
"    Percent","76.0%"
"Gosper County, Nebraska",""
"    Estimate","677"
"    Percent","81.0%"
"Grant County, Nebraska",""
"    Estimate","201"
"    Percent","70.8%"
"Greeley County, Nebraska",""
"    Estimate","783"
"    Percent","81.7%"
"Hall County, Nebraska",""
"    Estimate","15,239"
"    Percent","62.0%"
"Hamilton County, Nebraska",""
"    Estimate","3,010"
"    Percent","83.0%"
"Harlan County, Nebraska",""
"    Estimate","1,027"
"    Percent","85.8%"
"Hayes County, Nebraska",""
"    Estimate","256"
"    Percent","67.9%"
"Hitchcock County, Nebraska",""
"    Estimate","874"
"    Percent","78.7%"
"Holt County, Nebraska",""
"    Estimate","2,927"
"    Percent","72.3%"
"Hooker County, Nebraska",""
"    Estimate","181"
"    Percent","55.4%"
"Howard County, Nebraska",""
"    Estimate","1,959"
"    Percent","78.2%"
"Jefferson County, Nebraska",""
"    Estimate","2,348"
"    Percent","74.9%"
"Johnson County, Nebraska",""
"    Estimate","1,148"
"    Percent","67.2%"
"Kearney County, Nebraska",""
"    Estimate","2,180"
"    Percent","77.5%"
"Keith County, Nebraska",""
"    Estimate","2,881"
"    Percent","71.1%"
"Keya Paha County, Nebraska",""
"    Estimate","244"
"    Percent","80.8%"
"Kimball County, Nebraska",""
"    Estimate","1,120"
"    Percent","75.2%"
"Knox County, Nebraska",""
"    Estimate","2,684"
"    Percent","78.4%"
"Lancaster County, Nebraska",""
"    Estimate","79,065"
"    Percent","58.9%"
"Lincoln County, Nebraska",""
"    Estimate","9,772"
"    Percent","65.6%"
"Logan County, Nebraska",""
"    Estimate","236"
"    Percent","78.9%"
"Loup County, Nebraska",""
"    Estimate","179"
"    Percent","73.4%"
"McPherson County, Nebraska",""
"    Estimate","138"
"    Percent","65.1%"
"Madison County, Nebraska",""
"    Estimate","9,465"
"    Percent","65.4%"
"Merrick County, Nebraska",""
"    Estimate","2,634"
"    Percent","82.2%"
"Morrill County, Nebraska",""
"    Estimate","1,482"
"    Percent","77.3%"
"Nance County, Nebraska",""
"    Estimate","978"
"    Percent","72.9%"
"Nemaha County, Nebraska",""
"    Estimate","1,875"
"    Percent","65.9%"
"Nuckolls County, Nebraska",""
"    Estimate","1,602"
"    Percent","83.5%"
"Otoe County, Nebraska",""
"    Estimate","5,252"
"    Percent","82.3%"
"Pawnee County, Nebraska",""
"    Estimate","874"
"    Percent","80.2%"
"Perkins County, Nebraska",""
"    Estimate","938"
"    Percent","78.7%"
"Phelps County, Nebraska",""
"    Estimate","2,675"
"    Percent","68.3%"
"Pierce County, Nebraska",""
"    Estimate","2,221"
"    Percent","78.1%"
"Platte County, Nebraska",""
"    Estimate","9,777"
"    Percent","71.6%"
"Polk County, Nebraska",""
"    Estimate","1,669"
"    Percent","78.9%"
"Red Willow County, Nebraska",""
"    Estimate","3,289"
"    Percent","73.0%"
"Richardson County, Nebraska",""
"    Estimate","2,748"
"    Percent","77.3%"
"Rock County, Nebraska",""
"    Estimate","416"
"    Percent","69.3%"
"Saline County, Nebraska",""
"    Estimate","3,903"
"    Percent","75.9%"
"Sarpy County, Nebraska",""
"    Estimate","52,128"
"    Percent","70.4%"
"Saunders County, Nebraska",""
"    Estimate","7,308"
"    Percent","82.1%"
"Scotts Bluff County, Nebraska",""
"    Estimate","10,451"
"    Percent","69.3%"
"Seward County, Nebraska",""
"    Estimate","4,888"
"    Percent","72.0%"
"Sheridan County, Nebraska",""
"    Estimate","1,563"
"    Percent","74.1%"
"Sherman County, Nebraska",""
"    Estimate","999"
"    Percent","75.4%"
"Sioux County, Nebraska",""
"    Estimate","292"
"    Percent","59.6%"
"Stanton County, Nebraska",""
"    Estimate","1,810"
"    Percent","78.3%"
"Thayer County, Nebraska",""
"    Estimate","1,618"
"    Percent","77.5%"
"Thomas County, Nebraska",""
"    Estimate","207"
"    Percent","68.1%"
"Thurston County, Nebraska",""
"    Estimate","1,214"
"    Percent","61.0%"
"Valley County, Nebraska",""
"    Estimate","1,325"
"    Percent","73.8%"
"Washington County, Nebraska",""
"    Estimate","7,010"
"    Percent","83.2%"
"Wayne County, Nebraska",""
"    Estimate","2,299"
"    Percent","61.3%"
"Webster County, Nebraska",""
"    Estimate","1,203"
"    Percent","80.6%"
"Wheeler County, Nebraska",""
"    Estimate","279"
"    Percent","77.7%"
"York County, Nebraska",""
"    Estimate","4,314"
"    Percent","75.5%"
"Churchill County, Nevada",""
"    Estimate","6,650"
"    Percent","69.9%"
"Clark County, Nevada",""
"    Estimate","498,384"
"    Percent","57.8%"
"Douglas County, Nevada",""
"    Estimate","16,811"
"    Percent","78.8%"
"Elko County, Nevada",""
"    Estimate","14,004"
"    Percent","71.4%"
"Esmeralda County, Nevada",""
"    Estimate","306"
"    Percent","60.8%"
"Eureka County, Nevada",""
"    Estimate","516"
"    Percent","83.0%"
"Humboldt County, Nevada",""
"    Estimate","5,112"
"    Percent","74.0%"
"Lander County, Nevada",""
"    Estimate","1,648"
"    Percent","77.4%"
"Lincoln County, Nevada",""
"    Estimate","1,287"
"    Percent","75.0%"
"Lyon County, Nevada",""
"    Estimate","18,202"
"    Percent","76.7%"
"Mineral County, Nevada",""
"    Estimate","1,327"
"    Percent","72.5%"
"Nye County, Nevada",""
"    Estimate","17,250"
"    Percent","77.8%"
"Pershing County, Nevada",""
"    Estimate","1,268"
"    Percent","73.0%"
"Storey County, Nevada",""
"    Estimate","1,818"
"    Percent","96.1%"
"Washoe County, Nevada",""
"    Estimate","119,312"
"    Percent","59.9%"
"White Pine County, Nevada",""
"    Estimate","2,533"
"    Percent","75.4%"
"Carson City, Nevada",""
"    Estimate","14,769"
"    Percent","62.3%"
"Belknap County, New Hampshire",""
"    Estimate","21,097"
"    Percent","80.1%"
"Carroll County, New Hampshire",""
"    Estimate","18,210"
"    Percent","83.4%"
"Cheshire County, New Hampshire",""
"    Estimate","22,264"
"    Percent","72.7%"
"Coos County, New Hampshire",""
"    Estimate","10,396"
"    Percent","74.2%"
"Grafton County, New Hampshire",""
"    Estimate","26,466"
"    Percent","71.3%"
"Hillsborough County, New Hampshire",""
"    Estimate","113,710"
"    Percent","67.4%"
"Merrimack County, New Hampshire",""
"    Estimate","44,754"
"    Percent","73.5%"
"Rockingham County, New Hampshire",""
"    Estimate","100,075"
"    Percent","78.4%"
"Strafford County, New Hampshire",""
"    Estimate","34,950"
"    Percent","67.1%"
"Sullivan County, New Hampshire",""
"    Estimate","12,531"
"    Percent","75.4%"
"Atlantic County, New Jersey",""
"    Estimate","75,281"
"    Percent","68.7%"
"Bergen County, New Jersey",""
"    Estimate","232,025"
"    Percent","65.3%"
"Burlington County, New Jersey",""
"    Estimate","134,924"
"    Percent","76.1%"
"Camden County, New Jersey",""
"    Estimate","131,032"
"    Percent","64.7%"
"Cape May County, New Jersey",""
"    Estimate","36,053"
"    Percent","80.3%"
"Cumberland County, New Jersey",""
"    Estimate","35,782"
"    Percent","66.5%"
"Essex County, New Jersey",""
"    Estimate","143,579"
"    Percent","44.9%"
"Gloucester County, New Jersey",""
"    Estimate","90,175"
"    Percent","80.1%"
"Hudson County, New Jersey",""
"    Estimate","92,074"
"    Percent","30.7%"
"Hunterdon County, New Jersey",""
"    Estimate","43,302"
"    Percent","85.1%"
"Mercer County, New Jersey",""
"    Estimate","89,569"
"    Percent","62.2%"
"Middlesex County, New Jersey",""
"    Estimate","195,888"
"    Percent","63.6%"
"Monmouth County, New Jersey",""
"    Estimate","190,173"
"    Percent","75.6%"
"Morris County, New Jersey",""
"    Estimate","143,562"
"    Percent","74.3%"
"Ocean County, New Jersey",""
"    Estimate","196,874"
"    Percent","80.7%"
"Passaic County, New Jersey",""
"    Estimate","94,970"
"    Percent","53.1%"
"Salem County, New Jersey",""
"    Estimate","17,635"
"    Percent","71.0%"
"Somerset County, New Jersey",""
"    Estimate","97,187"
"    Percent","74.3%"
"Sussex County, New Jersey",""
"    Estimate","48,366"
"    Percent","83.7%"
"Union County, New Jersey",""
"    Estimate","116,605"
"    Percent","57.4%"
"Warren County, New Jersey",""
"    Estimate","34,072"
"    Percent","75.1%"
"Bernalillo County, New Mexico",""
"    Estimate","184,254"
"    Percent","64.5%"
"Catron County, New Mexico",""
"    Estimate","1,678"
"    Percent","93.8%"
"Chaves County, New Mexico",""
"    Estimate","16,904"
"    Percent","71.3%"
"Cibola County, New Mexico",""
"    Estimate","6,470"
"    Percent","76.1%"
"Colfax County, New Mexico",""
"    Estimate","3,853"
"    Percent","71.8%"
"Curry County, New Mexico",""
"    Estimate","11,653"
"    Percent","62.7%"
"De Baca County, New Mexico",""
"    Estimate","586"
"    Percent","71.5%"
"Doña Ana County, New Mexico",""
"    Estimate","55,574"
"    Percent","65.5%"
"Eddy County, New Mexico",""
"    Estimate","17,325"
"    Percent","73.3%"
"Grant County, New Mexico",""
"    Estimate","8,561"
"    Percent","75.8%"
"Guadalupe County, New Mexico",""
"    Estimate","1,112"
"    Percent","74.6%"
"Harding County, New Mexico",""
"    Estimate","220"
"    Percent","76.9%"
"Hidalgo County, New Mexico",""
"    Estimate","1,194"
"    Percent","80.8%"
"Lea County, New Mexico",""
"    Estimate","17,559"
"    Percent","71.2%"
"Lincoln County, New Mexico",""
"    Estimate","7,681"
"    Percent","76.8%"
"Los Alamos County, New Mexico",""
"    Estimate","6,171"
"    Percent","74.8%"
"Luna County, New Mexico",""
"    Estimate","6,537"
"    Percent","70.9%"
"McKinley County, New Mexico",""
"    Estimate","14,900"
"    Percent","69.8%"
"Mora County, New Mexico",""
"    Estimate","1,707"
"    Percent","86.7%"
"Otero County, New Mexico",""
"    Estimate","16,400"
"    Percent","67.0%"
"Quay County, New Mexico",""
"    Estimate","3,142"
"    Percent","71.6%"
"Rio Arriba County, New Mexico",""
"    Estimate","12,517"
"    Percent","80.0%"
"Roosevelt County, New Mexico",""
"    Estimate","4,513"
"    Percent","60.7%"
"Sandoval County, New Mexico",""
"    Estimate","47,530"
"    Percent","83.5%"
"San Juan County, New Mexico",""
"    Estimate","29,713"
"    Percent","71.2%"
"San Miguel County, New Mexico",""
"    Estimate","8,718"
"    Percent","73.1%"
"Santa Fe County, New Mexico",""
"    Estimate","50,603"
"    Percent","71.5%"
"Sierra County, New Mexico",""
"    Estimate","3,906"
"    Percent","71.8%"
"Socorro County, New Mexico",""
"    Estimate","3,957"
"    Percent","75.1%"
"Taos County, New Mexico",""
"    Estimate","12,067"
"    Percent","77.6%"
"Torrance County, New Mexico",""
"    Estimate","4,947"
"    Percent","81.7%"
"Union County, New Mexico",""
"    Estimate","1,041"
"    Percent","72.4%"
"Valencia County, New Mexico",""
"    Estimate","22,944"
"    Percent","83.2%"
"Albany County, New York",""
"    Estimate","76,213"
"    Percent","56.6%"
"Allegany County, New York",""
"    Estimate","14,038"
"    Percent","79.3%"
"Bronx County, New York",""
"    Estimate","107,175"
"    Percent","20.1%"
"Broome County, New York",""
"    Estimate","52,920"
"    Percent","64.5%"
"Cattaraugus County, New York",""
"    Estimate","23,996"
"    Percent","75.2%"
"Cayuga County, New York",""
"    Estimate","22,518"
"    Percent","71.4%"
"Chautauqua County, New York",""
"    Estimate","36,762"
"    Percent","68.9%"
"Chemung County, New York",""
"    Estimate","24,132"
"    Percent","68.4%"
"Chenango County, New York",""
"    Estimate","14,993"
"    Percent","75.4%"
"Clinton County, New York",""
"    Estimate","23,273"
"    Percent","69.4%"
"Columbia County, New York",""
"    Estimate","20,315"
"    Percent","76.3%"
"Cortland County, New York",""
"    Estimate","12,597"
"    Percent","66.3%"
"Delaware County, New York",""
"    Estimate","14,835"
"    Percent","77.3%"
"Dutchess County, New York",""
"    Estimate","80,447"
"    Percent","69.2%"
"Erie County, New York",""
"    Estimate","269,652"
"    Percent","65.8%"
"Essex County, New York",""
"    Estimate","12,625"
"    Percent","77.3%"
"Franklin County, New York",""
"    Estimate","14,151"
"    Percent","72.5%"
"Fulton County, New York",""
"    Estimate","16,320"
"    Percent","71.4%"
"Genesee County, New York",""
"    Estimate","18,351"
"    Percent","73.8%"
"Greene County, New York",""
"    Estimate","14,422"
"    Percent","77.2%"
"Hamilton County, New York",""
"    Estimate","1,997"
"    Percent","82.4%"
"Herkimer County, New York",""
"    Estimate","19,723"
"    Percent","76.6%"
"Jefferson County, New York",""
"    Estimate","26,018"
"    Percent","54.7%"
"Kings County, New York",""
"    Estimate","297,916"
"    Percent","29.5%"
"Lewis County, New York",""
"    Estimate","8,912"
"    Percent","80.2%"
"Livingston County, New York",""
"    Estimate","18,684"
"    Percent","76.3%"
"Madison County, New York",""
"    Estimate","20,545"
"    Percent","78.3%"
"Monroe County, New York",""
"    Estimate","202,708"
"    Percent","63.7%"
"Montgomery County, New York",""
"    Estimate","13,798"
"    Percent","70.4%"
"Nassau County, New York",""
"    Estimate","375,466"
"    Percent","81.9%"
"New York County, New York",""
"    Estimate","194,982"
"    Percent","25.1%"
"Niagara County, New York",""
"    Estimate","65,383"
"    Percent","71.2%"
"Oneida County, New York",""
"    Estimate","64,435"
"    Percent","67.7%"
"Onondaga County, New York",""
"    Estimate","130,389"
"    Percent","65.9%"
"Ontario County, New York",""
"    Estimate","35,598"
"    Percent","73.7%"
"Orange County, New York",""
"    Estimate","94,002"
"    Percent","67.8%"
"Orleans County, New York",""
"    Estimate","12,515"
"    Percent","77.2%"
"Oswego County, New York",""
"    Estimate","34,680"
"    Percent","73.4%"
"Otsego County, New York",""
"    Estimate","17,129"
"    Percent","73.9%"
"Putnam County, New York",""
"    Estimate","29,778"
"    Percent","83.8%"
"Queens County, New York",""
"    Estimate","377,295"
"    Percent","44.9%"
"Rensselaer County, New York",""
"    Estimate","43,190"
"    Percent","64.8%"
"Richmond County, New York",""
"    Estimate","115,688"
"    Percent","67.7%"
"Rockland County, New York",""
"    Estimate","70,564"
"    Percent","67.9%"
"St. Lawrence County, New York",""
"    Estimate","29,945"
"    Percent","71.9%"
"Saratoga County, New York",""
"    Estimate","73,682"
"    Percent","72.3%"
"Schenectady County, New York",""
"    Estimate","42,844"
"    Percent","64.0%"
"Schoharie County, New York",""
"    Estimate","9,824"
"    Percent","76.4%"
"Schuyler County, New York",""
"    Estimate","5,823"
"    Percent","79.2%"
"Seneca County, New York",""
"    Estimate","9,654"
"    Percent","71.0%"
"Steuben County, New York",""
"    Estimate","28,738"
"    Percent","73.3%"
"Suffolk County, New York",""
"    Estimate","421,146"
"    Percent","82.2%"
"Sullivan County, New York",""
"    Estimate","21,178"
"    Percent","67.4%"
"Tioga County, New York",""
"    Estimate","16,091"
"    Percent","79.1%"
"Tompkins County, New York",""
"    Estimate","23,422"
"    Percent","54.1%"
"Ulster County, New York",""
"    Estimate","51,924"
"    Percent","69.9%"
"Warren County, New York",""
"    Estimate","21,731"
"    Percent","72.1%"
"Washington County, New York",""
"    Estimate","18,755"
"    Percent","76.6%"
"Wayne County, New York",""
"    Estimate","30,676"
"    Percent","79.9%"
"Westchester County, New York",""
"    Estimate","230,602"
"    Percent","61.8%"
"Wyoming County, New York",""
"    Estimate","12,494"
"    Percent","75.9%"
"Yates County, New York",""
"    Estimate","7,326"
"    Percent","77.2%"
"Alamance County, North Carolina",""
"    Estimate","45,543"
"    Percent","65.0%"
"Alexander County, North Carolina",""
"    Estimate","11,397"
"    Percent","80.7%"
"Alleghany County, North Carolina",""
"    Estimate","3,853"
"    Percent","74.4%"
"Anson County, North Carolina",""
"    Estimate","5,857"
"    Percent","68.5%"
"Ashe County, North Carolina",""
"    Estimate","9,685"
"    Percent","79.4%"
"Avery County, North Carolina",""
"    Estimate","5,637"
