County,Total civilian noninstitutionalized population
    Total,
        Estimate,"10,435"
    With a disability,
        Estimate,"1,888"
    Percent with a disability,
        Estimate,18.10%
"Daviess County, Indiana",
    Total,
        Estimate,"33,171"
    With a disability,
        Estimate,"4,749"
    Percent with a disability,
        Estimate,14.30%
"Dearborn County, Indiana",
    Total,
        Estimate,"50,585"
    With a disability,
        Estimate,"7,746"
    Percent with a disability,
        Estimate,15.30%
"Decatur County, Indiana",
    Total,
        Estimate,"25,980"
    With a disability,
        Estimate,"3,250"
    Percent with a disability,
        Estimate,12.50%
"DeKalb County, Indiana",
    Total,
        Estimate,"43,381"
    With a disability,
        Estimate,"6,352"
    Percent with a disability,
        Estimate,14.60%
"Delaware County, Indiana",
    Total,
        Estimate,"110,590"
    With a disability,
        Estimate,"21,105"
    Percent with a disability,
        Estimate,19.10%
"Dubois County, Indiana",
    Total,
        Estimate,"43,021"
    With a disability,
        Estimate,"5,092"
    Percent with a disability,
        Estimate,11.80%
"Elkhart County, Indiana",
    Total,
        Estimate,"205,322"
    With a disability,
        Estimate,"25,607"
    Percent with a disability,
        Estimate,12.50%
"Fayette County, Indiana",
    Total,
        Estimate,"23,016"
    With a disability,
        Estimate,"4,872"
    Percent with a disability,
        Estimate,21.20%
"Floyd County, Indiana",
    Total,
        Estimate,"79,705"
    With a disability,
        Estimate,"12,538"
    Percent with a disability,
        Estimate,15.70%
"Fountain County, Indiana",
    Total,
        Estimate,"16,499"
    With a disability,
        Estimate,"3,098"
    Percent with a disability,
        Estimate,18.80%
"Franklin County, Indiana",
    Total,
        Estimate,"22,969"
    With a disability,
        Estimate,"3,054"
    Percent with a disability,
        Estimate,13.30%
"Fulton County, Indiana",
    Total,
        Estimate,"20,167"
    With a disability,
        Estimate,"2,956"
    Percent with a disability,
        Estimate,14.70%
"Gibson County, Indiana",
    Total,
        Estimate,"32,540"
    With a disability,
        Estimate,"5,131"
    Percent with a disability,
        Estimate,15.80%
"Grant County, Indiana",
    Total,
        Estimate,"65,579"
    With a disability,
        Estimate,"13,384"
    Percent with a disability,
        Estimate,20.40%
"Greene County, Indiana",
    Total,
        Estimate,"30,688"
    With a disability,
        Estimate,"6,053"
    Percent with a disability,
        Estimate,19.70%
"Hamilton County, Indiana",
    Total,
        Estimate,"362,323"
    With a disability,
        Estimate,"28,878"
    Percent with a disability,
        Estimate,8.00%
"Hancock County, Indiana",
    Total,
        Estimate,"83,310"
    With a disability,
        Estimate,"11,314"
    Percent with a disability,
        Estimate,13.60%
"Harrison County, Indiana",
    Total,
        Estimate,"39,416"
    With a disability,
        Estimate,"5,809"
    Percent with a disability,
        Estimate,14.70%
"Hendricks County, Indiana",
    Total,
        Estimate,"178,220"
    With a disability,
        Estimate,"18,238"
    Percent with a disability,
        Estimate,10.20%
"Henry County, Indiana",
    Total,
        Estimate,"45,899"
    With a disability,
        Estimate,"9,303"
    Percent with a disability,
        Estimate,20.30%
"Howard County, Indiana",
    Total,
        Estimate,"82,597"
    With a disability,
        Estimate,"15,127"
    Percent with a disability,
        Estimate,18.30%
"Huntington County, Indiana",
    Total,
        Estimate,"36,310"
    With a disability,
        Estimate,"5,985"
    Percent with a disability,
        Estimate,16.50%
"Jackson County, Indiana",
    Total,
        Estimate,"46,020"
    With a disability,
        Estimate,"6,604"
    Percent with a disability,
        Estimate,14.40%
"Jasper County, Indiana",
    Total,
        Estimate,"32,953"
    With a disability,
        Estimate,"5,477"
    Percent with a disability,
        Estimate,16.60%
"Jay County, Indiana",
    Total,
        Estimate,"20,024"
    With a disability,
        Estimate,"3,680"
    Percent with a disability,
        Estimate,18.40%
"Jefferson County, Indiana",
    Total,
        Estimate,"31,933"
    With a disability,
        Estimate,"6,289"
    Percent with a disability,
        Estimate,19.70%
"Jennings County, Indiana",
    Total,
        Estimate,"27,313"
    With a disability,
        Estimate,"5,110"
    Percent with a disability,
        Estimate,18.70%
"Johnson County, Indiana",
    Total,
        Estimate,"163,929"
    With a disability,
        Estimate,"19,766"
    Percent with a disability,
        Estimate,12.10%
"Knox County, Indiana",
    Total,
        Estimate,"35,371"
    With a disability,
        Estimate,"6,801"
    Percent with a disability,
        Estimate,19.20%
"Kosciusko County, Indiana",
    Total,
        Estimate,"79,816"
    With a disability,
        Estimate,"11,011"
    Percent with a disability,
        Estimate,13.80%
"LaGrange County, Indiana",
    Total,
        Estimate,"40,649"
    With a disability,
        Estimate,"4,495"
    Percent with a disability,
        Estimate,11.10%
"Lake County, Indiana",
    Total,
        Estimate,"496,403"
    With a disability,
        Estimate,"67,609"
    Percent with a disability,
        Estimate,13.60%
"LaPorte County, Indiana",
    Total,
        Estimate,"105,213"
    With a disability,
        Estimate,"15,951"
    Percent with a disability,
        Estimate,15.20%
"Lawrence County, Indiana",
    Total,
        Estimate,"44,522"
    With a disability,
        Estimate,"7,695"
    Percent with a disability,
        Estimate,17.30%
"Madison County, Indiana",
    Total,
        Estimate,"127,971"
    With a disability,
        Estimate,"27,570"
    Percent with a disability,
        Estimate,21.50%
"Marion County, Indiana",
    Total,
        Estimate,"966,891"
    With a disability,
        Estimate,"133,932"
    Percent with a disability,
        Estimate,13.90%
"Marshall County, Indiana",
    Total,
        Estimate,"45,718"
    With a disability,
        Estimate,"5,893"
    Percent with a disability,
        Estimate,12.90%
"Martin County, Indiana",
    Total,
        Estimate,"9,699"
    With a disability,
        Estimate,"1,716"
    Percent with a disability,
        Estimate,17.70%
"Miami County, Indiana",
    Total,
        Estimate,"33,299"
    With a disability,
        Estimate,"5,966"
    Percent with a disability,
        Estimate,17.90%
"Monroe County, Indiana",
    Total,
        Estimate,"139,920"
    With a disability,
        Estimate,"16,875"
    Percent with a disability,
        Estimate,12.10%
"Montgomery County, Indiana",
    Total,
        Estimate,"37,852"
    With a disability,
        Estimate,"5,784"
    Percent with a disability,
        Estimate,15.30%
"Morgan County, Indiana",
    Total,
        Estimate,"71,767"
    With a disability,
        Estimate,"11,935"
    Percent with a disability,
        Estimate,16.60%
"Newton County, Indiana",
    Total,
        Estimate,"13,760"
    With a disability,
        Estimate,"2,561"
    Percent with a disability,
        Estimate,18.60%
"Noble County, Indiana",
    Total,
        Estimate,"46,883"
    With a disability,
        Estimate,"6,003"
    Percent with a disability,
        Estimate,12.80%
"Ohio County, Indiana",
    Total,
        Estimate,"5,952"
    With a disability,
        Estimate,"1,103"
    Percent with a disability,
        Estimate,18.50%
"Orange County, Indiana",
    Total,
        Estimate,"19,512"
    With a disability,
        Estimate,"3,593"
    Percent with a disability,
        Estimate,18.40%
"Owen County, Indiana",
    Total,
        Estimate,"21,368"
    With a disability,
        Estimate,"4,201"
    Percent with a disability,
        Estimate,19.70%
"Parke County, Indiana",
    Total,
        Estimate,"15,442"
    With a disability,
        Estimate,"2,419"
    Percent with a disability,
        Estimate,15.70%
"Perry County, Indiana",
    Total,
        Estimate,"17,880"
    With a disability,
        Estimate,"3,147"
    Percent with a disability,
        Estimate,17.60%
"Pike County, Indiana",
    Total,
        Estimate,"11,960"
    With a disability,
        Estimate,"1,872"
    Percent with a disability,
        Estimate,15.70%
"Porter County, Indiana",
    Total,
        Estimate,"173,196"
    With a disability,
        Estimate,"19,903"
    Percent with a disability,
        Estimate,11.50%
"Posey County, Indiana",
    Total,
        Estimate,"24,843"
    With a disability,
        Estimate,"3,489"
    Percent with a disability,
        Estimate,14.00%
"Pulaski County, Indiana",
    Total,
        Estimate,"12,299"
    With a disability,
        Estimate,"2,249"
    Percent with a disability,
        Estimate,18.30%
"Putnam County, Indiana",
    Total,
        Estimate,"35,011"
    With a disability,
        Estimate,"5,276"
    Percent with a disability,
        Estimate,15.10%
"Randolph County, Indiana",
    Total,
        Estimate,"24,061"
    With a disability,
        Estimate,"4,839"
    Percent with a disability,
        Estimate,20.10%
"Ripley County, Indiana",
    Total,
        Estimate,"28,634"
    With a disability,
        Estimate,"4,104"
    Percent with a disability,
        Estimate,14.30%
"Rush County, Indiana",
    Total,
        Estimate,"16,602"
    With a disability,
        Estimate,"2,724"
    Percent with a disability,
        Estimate,16.40%
"St. Joseph County, Indiana",
    Total,
        Estimate,"270,275"
    With a disability,
        Estimate,"36,194"
    Percent with a disability,
        Estimate,13.40%
"Scott County, Indiana",
    Total,
        Estimate,"24,172"
    With a disability,
        Estimate,"5,120"
    Percent with a disability,
        Estimate,21.20%
"Shelby County, Indiana",
    Total,
        Estimate,"44,492"
    With a disability,
        Estimate,"7,084"
    Percent with a disability,
        Estimate,15.90%
"Spencer County, Indiana",
    Total,
        Estimate,"19,751"
    With a disability,
        Estimate,"2,813"
    Percent with a disability,
        Estimate,14.20%
"Starke County, Indiana",
    Total,
        Estimate,"23,313"
    With a disability,
        Estimate,"4,594"
    Percent with a disability,
        Estimate,19.70%
"Steuben County, Indiana",
    Total,
        Estimate,"34,504"
    With a disability,
        Estimate,"5,395"
    Percent with a disability,
        Estimate,15.60%
"Sullivan County, Indiana",
    Total,
        Estimate,"18,744"
    With a disability,
        Estimate,"3,558"
    Percent with a disability,
        Estimate,19.00%
"Switzerland County, Indiana",
    Total,
        Estimate,"9,814"
    With a disability,
        Estimate,"2,132"
    Percent with a disability,
        Estimate,21.70%
"Tippecanoe County, Indiana",
    Total,
        Estimate,"187,366"
    With a disability,
        Estimate,"17,969"
    Percent with a disability,
        Estimate,9.60%
"Tipton County, Indiana",
    Total,
        Estimate,"15,153"
    With a disability,
        Estimate,"2,103"
    Percent with a disability,
        Estimate,13.90%
"Union County, Indiana",
    Total,
        Estimate,"6,934"
    With a disability,
        Estimate,976
    Percent with a disability,
        Estimate,14.10%
"Vanderburgh County, Indiana",
    Total,
        Estimate,"177,624"
    With a disability,
        Estimate,"30,444"
    Percent with a disability,
        Estimate,17.10%
"Vermillion County, Indiana",
    Total,
        Estimate,"15,219"
    With a disability,
        Estimate,"3,104"
    Percent with a disability,
        Estimate,20.40%
"Vigo County, Indiana",
    Total,
        Estimate,"102,431"
    With a disability,
        Estimate,"18,906"
    Percent with a disability,
        Estimate,18.50%
"Wabash County, Indiana",
    Total,
        Estimate,"29,930"
    With a disability,
        Estimate,"4,613"
    Percent with a disability,
        Estimate,15.40%
"Warren County, Indiana",
    Total,
        Estimate,"8,380"
    With a disability,
        Estimate,"1,598"
    Percent with a disability,
        Estimate,19.10%
"Warrick County, Indiana",
    Total,
        Estimate,"64,365"
    With a disability,
        Estimate,"8,516"
    Percent with a disability,
        Estimate,13.20%
"Washington County, Indiana",
    Total,
        Estimate,"27,873"
    With a disability,
        Estimate,"4,609"
    Percent with a disability,
        Estimate,16.50%
"Wayne County, Indiana",
    Total,
        Estimate,"65,150"
    With a disability,
        Estimate,"12,846"
    Percent with a disability,
        Estimate,19.70%
"Wells County, Indiana",
    Total,
        Estimate,"27,919"
    With a disability,
        Estimate,"3,559"
    Percent with a disability,
        Estimate,12.70%
"White County, Indiana",
    Total,
        Estimate,"24,521"
    With a disability,
        Estimate,"3,369"
    Percent with a disability,
        Estimate,13.70%
"Whitley County, Indiana",
    Total,
        Estimate,"34,355"
    With a disability,
        Estimate,"4,894"
    Percent with a disability,
        Estimate,14.20%
"Adair County, Iowa",
    Total,
        Estimate,"7,291"
    With a disability,
        Estimate,993
    Percent with a disability,
        Estimate,13.60%
"Adams County, Iowa",
    Total,
        Estimate,"3,565"
    With a disability,
        Estimate,489
    Percent with a disability,
        Estimate,13.70%
"Allamakee County, Iowa",
    Total,
        Estimate,"13,863"
    With a disability,
        Estimate,"1,718"
    Percent with a disability,
        Estimate,12.40%
"Appanoose County, Iowa",
    Total,
        Estimate,"12,047"
    With a disability,
        Estimate,"2,173"
    Percent with a disability,
        Estimate,18.00%
"Audubon County, Iowa",
    Total,
        Estimate,"5,483"
    With a disability,
        Estimate,764
    Percent with a disability,
        Estimate,13.90%
"Benton County, Iowa",
    Total,
        Estimate,"25,451"
    With a disability,
        Estimate,"2,848"
    Percent with a disability,
        Estimate,11.20%
"Black Hawk County, Iowa",
    Total,
        Estimate,"129,411"
    With a disability,
        Estimate,"17,174"
    Percent with a disability,
        Estimate,13.30%
"Boone County, Iowa",
    Total,
        Estimate,"26,225"
    With a disability,
        Estimate,"3,590"
    Percent with a disability,
        Estimate,13.70%
"Bremer County, Iowa",
    Total,
        Estimate,"24,865"
    With a disability,
        Estimate,"2,865"
    Percent with a disability,
        Estimate,11.50%
"Buchanan County, Iowa",
    Total,
        Estimate,"20,543"
    With a disability,
        Estimate,"2,588"
    Percent with a disability,
        Estimate,12.60%
"Buena Vista County, Iowa",
    Total,
        Estimate,"20,436"
    With a disability,
        Estimate,"2,100"
    Percent with a disability,
        Estimate,10.30%
"Butler County, Iowa",
    Total,
        Estimate,"14,061"
    With a disability,
        Estimate,"1,723"
    Percent with a disability,
        Estimate,12.30%
"Calhoun County, Iowa",
    Total,
        Estimate,"9,163"
    With a disability,
        Estimate,"1,509"
    Percent with a disability,
        Estimate,16.50%
"Carroll County, Iowa",
    Total,
        Estimate,"20,255"
    With a disability,
        Estimate,"2,610"
    Percent with a disability,
        Estimate,12.90%
"Cass County, Iowa",
    Total,
        Estimate,"12,883"
    With a disability,
        Estimate,"1,930"
    Percent with a disability,
        Estimate,15.00%
"Cedar County, Iowa",
    Total,
        Estimate,"18,081"
    With a disability,
        Estimate,"2,107"
    Percent with a disability,
        Estimate,11.70%
"Cerro Gordo County, Iowa",
    Total,
        Estimate,"42,053"
    With a disability,
        Estimate,"6,096"
    Percent with a disability,
        Estimate,14.50%
"Cherokee County, Iowa",
    Total,
        Estimate,"11,325"
    With a disability,
        Estimate,"1,355"
    Percent with a disability,
        Estimate,12.00%
"Chickasaw County, Iowa",
    Total,
        Estimate,"11,672"
    With a disability,
        Estimate,"1,651"
    Percent with a disability,
        Estimate,14.10%
"Clarke County, Iowa",
    Total,
        Estimate,"9,541"
    With a disability,
        Estimate,"1,643"
    Percent with a disability,
        Estimate,17.20%
"Clay County, Iowa",
    Total,
        Estimate,"16,234"
    With a disability,
        Estimate,"2,402"
    Percent with a disability,
        Estimate,14.80%
"Clayton County, Iowa",
    Total,
        Estimate,"16,802"
    With a disability,
        Estimate,"2,470"
    Percent with a disability,
        Estimate,14.70%
"Clinton County, Iowa",
    Total,
        Estimate,"45,688"
    With a disability,
        Estimate,"6,477"
    Percent with a disability,
        Estimate,14.20%
"Crawford County, Iowa",
    Total,
        Estimate,"16,103"
    With a disability,
        Estimate,"2,764"
    Percent with a disability,
        Estimate,17.20%
"Dallas County, Iowa",
    Total,
        Estimate,"107,365"
    With a disability,
        Estimate,"8,228"
    Percent with a disability,
        Estimate,7.70%
"Davis County, Iowa",
    Total,
        Estimate,"9,059"
    With a disability,
        Estimate,"1,080"
    Percent with a disability,
        Estimate,11.90%
"Decatur County, Iowa",
    Total,
        Estimate,"7,667"
    With a disability,
        Estimate,"1,202"
    Percent with a disability,
        Estimate,15.70%
"Delaware County, Iowa",
    Total,
        Estimate,"17,392"
    With a disability,
        Estimate,"2,629"
    Percent with a disability,
        Estimate,15.10%
"Des Moines County, Iowa",
    Total,
        Estimate,"38,033"
    With a disability,
        Estimate,"6,258"
    Percent with a disability,
        Estimate,16.50%
"Dickinson County, Iowa",
    Total,
        Estimate,"17,767"
    With a disability,
        Estimate,"2,620"
    Percent with a disability,
        Estimate,14.70%
"Dubuque County, Iowa",
    Total,
        Estimate,"97,759"
    With a disability,
        Estimate,"10,761"
    Percent with a disability,
        Estimate,11.00%
"Emmet County, Iowa",
    Total,
        Estimate,"9,042"
    With a disability,
        Estimate,"1,666"
    Percent with a disability,
        Estimate,18.40%
"Fayette County, Iowa",
    Total,
        Estimate,"18,879"
    With a disability,
        Estimate,"2,977"
    Percent with a disability,
        Estimate,15.80%
"Floyd County, Iowa",
    Total,
        Estimate,"15,128"
    With a disability,
        Estimate,"2,493"
    Percent with a disability,
        Estimate,16.50%
"Franklin County, Iowa",
    Total,
        Estimate,"9,775"
    With a disability,
        Estimate,"1,214"
    Percent with a disability,
        Estimate,12.40%
"Fremont County, Iowa",
    Total,
        Estimate,"6,374"
    With a disability,
        Estimate,962
    Percent with a disability,
        Estimate,15.10%
"Greene County, Iowa",
    Total,
        Estimate,"8,595"
    With a disability,
        Estimate,"1,429"
    Percent with a disability,
        Estimate,16.60%
"Grundy County, Iowa",
    Total,
        Estimate,"12,259"
    With a disability,
        Estimate,"1,467"
    Percent with a disability,
        Estimate,12.00%
"Guthrie County, Iowa",
    Total,
        Estimate,"10,576"
    With a disability,
        Estimate,"1,309"
    Percent with a disability,
        Estimate,12.40%
"Hamilton County, Iowa",
    Total,
        Estimate,"14,685"
    With a disability,
        Estimate,"1,969"
    Percent with a disability,
        Estimate,13.40%
"Hancock County, Iowa",
    Total,
        Estimate,"10,463"
    With a disability,
        Estimate,"1,395"
    Percent with a disability,
        Estimate,13.30%
"Hardin County, Iowa",
    Total,
        Estimate,"16,214"
    With a disability,
        Estimate,"2,443"
    Percent with a disability,
        Estimate,15.10%
"Harrison County, Iowa",
    Total,
        Estimate,"14,386"
    With a disability,
        Estimate,"1,711"
    Percent with a disability,
        Estimate,11.90%
"Henry County, Iowa",
    Total,
        Estimate,"18,789"
    With a disability,
        Estimate,"3,025"
    Percent with a disability,
        Estimate,16.10%
"Howard County, Iowa",
    Total,
        Estimate,"9,288"
    With a disability,
        Estimate,971
    Percent with a disability,
        Estimate,10.50%
"Humboldt County, Iowa",
    Total,
        Estimate,"9,474"
    With a disability,
        Estimate,"1,304"
    Percent with a disability,
        Estimate,13.80%
"Ida County, Iowa",
    Total,
        Estimate,"6,742"
    With a disability,
        Estimate,923
    Percent with a disability,
        Estimate,13.70%
"Iowa County, Iowa",
    Total,
        Estimate,"16,275"
    With a disability,
        Estimate,"2,223"
    Percent with a disability,
        Estimate,13.70%
"Jackson County, Iowa",
    Total,
        Estimate,"19,200"
    With a disability,
        Estimate,"2,570"
    Percent with a disability,
        Estimate,13.40%
"Jasper County, Iowa",
    Total,
        Estimate,"36,186"
    With a disability,
        Estimate,"5,082"
    Percent with a disability,
        Estimate,14.00%
"Jefferson County, Iowa",
    Total,
        Estimate,"15,530"
    With a disability,
        Estimate,"2,087"
    Percent with a disability,
        Estimate,13.40%
"Johnson County, Iowa",
    Total,
        Estimate,"154,873"
    With a disability,
        Estimate,"15,303"
    Percent with a disability,
        Estimate,9.90%
"Jones County, Iowa",
    Total,
        Estimate,"19,767"
    With a disability,
        Estimate,"2,709"
    Percent with a disability,
        Estimate,13.70%
"Keokuk County, Iowa",
    Total,
        Estimate,"9,814"
    With a disability,
        Estimate,"1,574"
    Percent with a disability,
        Estimate,16.00%
"Kossuth County, Iowa",
    Total,
        Estimate,"14,264"
    With a disability,
        Estimate,"1,958"
    Percent with a disability,
        Estimate,13.70%
"Lee County, Iowa",
    Total,
        Estimate,"31,735"
    With a disability,
        Estimate,"5,350"
    Percent with a disability,
        Estimate,16.90%
"Linn County, Iowa",
    Total,
        Estimate,"227,866"
    With a disability,
        Estimate,"27,092"
    Percent with a disability,
        Estimate,11.90%
"Louisa County, Iowa",
    Total,
        Estimate,"10,553"
    With a disability,
        Estimate,"1,750"
    Percent with a disability,
        Estimate,16.60%
"Lucas County, Iowa",
    Total,
        Estimate,"8,637"
    With a disability,
        Estimate,"1,530"
    Percent with a disability,
        Estimate,17.70%
"Lyon County, Iowa",
    Total,
        Estimate,"11,984"
    With a disability,
        Estimate,"1,428"
    Percent with a disability,
        Estimate,11.90%
"Madison County, Iowa",
    Total,
        Estimate,"16,774"
    With a disability,
        Estimate,"1,597"
    Percent with a disability,
        Estimate,9.50%
"Mahaska County, Iowa",
    Total,
        Estimate,"21,707"
    With a disability,
        Estimate,"3,342"
    Percent with a disability,
        Estimate,15.40%
"Marion County, Iowa",
    Total,
        Estimate,"33,262"
    With a disability,
        Estimate,"4,520"
    Percent with a disability,
        Estimate,13.60%
"Marshall County, Iowa",
    Total,
        Estimate,"39,127"
    With a disability,
        Estimate,"5,234"
    Percent with a disability,
        Estimate,13.40%
"Mills County, Iowa",
    Total,
        Estimate,"14,291"
    With a disability,
        Estimate,"1,940"
    Percent with a disability,
        Estimate,13.60%
"Mitchell County, Iowa",
    Total,
        Estimate,"10,376"
    With a disability,
        Estimate,"1,118"
    Percent with a disability,
        Estimate,10.80%
"Monona County, Iowa",
    Total,
        Estimate,"8,393"
    With a disability,
        Estimate,"1,193"
    Percent with a disability,
        Estimate,14.20%
"Monroe County, Iowa",
    Total,
        Estimate,"7,323"
    With a disability,
        Estimate,"1,156"
    Percent with a disability,
        Estimate,15.80%
"Montgomery County, Iowa",
    Total,
        Estimate,"10,027"
    With a disability,
        Estimate,"1,817"
    Percent with a disability,
        Estimate,18.10%
"Muscatine County, Iowa",
    Total,
        Estimate,"41,805"
    With a disability,
        Estimate,"6,156"
    Percent with a disability,
        Estimate,14.70%
"O'Brien County, Iowa",
    Total,
        Estimate,"13,828"
    With a disability,
        Estimate,"2,041"
    Percent with a disability,
        Estimate,14.80%
"Osceola County, Iowa",
    Total,
        Estimate,"5,987"
    With a disability,
        Estimate,731
    Percent with a disability,
        Estimate,12.20%
"Page County, Iowa",
    Total,
        Estimate,"14,041"
    With a disability,
        Estimate,"2,454"
    Percent with a disability,
        Estimate,17.50%
"Palo Alto County, Iowa",
    Total,
        Estimate,"8,691"
    With a disability,
        Estimate,"1,155"
    Percent with a disability,
        Estimate,13.30%
"Plymouth County, Iowa",
    Total,
        Estimate,"25,406"
    With a disability,
        Estimate,"2,933"
    Percent with a disability,
        Estimate,11.50%
"Pocahontas County, Iowa",
    Total,
        Estimate,"6,915"
    With a disability,
        Estimate,"1,157"
    Percent with a disability,
        Estimate,16.70%
"Polk County, Iowa",
    Total,
        Estimate,"497,404"
    With a disability,
        Estimate,"56,610"
    Percent with a disability,
        Estimate,11.40%
"Pottawattamie County, Iowa",
    Total,
        Estimate,"91,913"
    With a disability,
        Estimate,"14,419"
    Percent with a disability,
        Estimate,15.70%
"Poweshiek County, Iowa",
    Total,
        Estimate,"18,268"
    With a disability,
        Estimate,"2,617"
    Percent with a disability,
        Estimate,14.30%
"Ringgold County, Iowa",
    Total,
        Estimate,"4,460"
    With a disability,
        Estimate,742
    Percent with a disability,
        Estimate,16.60%
"Sac County, Iowa",
    Total,
        Estimate,"9,536"
    With a disability,
        Estimate,"1,286"
    Percent with a disability,
        Estimate,13.50%
"Scott County, Iowa",
    Total,
        Estimate,"172,974"
    With a disability,
        Estimate,"22,233"
    Percent with a disability,
        Estimate,12.90%
"Shelby County, Iowa",
    Total,
        Estimate,"11,583"
    With a disability,
        Estimate,"1,187"
    Percent with a disability,
        Estimate,10.20%
"Sioux County, Iowa",
    Total,
        Estimate,"35,835"
    With a disability,
        Estimate,"3,235"
    Percent with a disability,
        Estimate,9.00%
"Story County, Iowa",
    Total,
        Estimate,"99,869"
    With a disability,
        Estimate,"9,579"
    Percent with a disability,
        Estimate,9.60%
"Tama County, Iowa",
    Total,
        Estimate,"16,520"
    With a disability,
        Estimate,"1,938"
    Percent with a disability,
        Estimate,11.70%
"Taylor County, Iowa",
    Total,
        Estimate,"5,770"
    With a disability,
        Estimate,854
    Percent with a disability,
        Estimate,14.80%
"Union County, Iowa",
    Total,
        Estimate,"11,848"
    With a disability,
        Estimate,"1,828"
    Percent with a disability,
        Estimate,15.40%
"Van Buren County, Iowa",
    Total,
        Estimate,"7,175"
    With a disability,
        Estimate,"1,232"
    Percent with a disability,
        Estimate,17.20%
"Wapello County, Iowa",
    Total,
        Estimate,"34,856"
    With a disability,
        Estimate,"5,624"
    Percent with a disability,
        Estimate,16.10%
"Warren County, Iowa",
    Total,
        Estimate,"53,781"
    With a disability,
        Estimate,"6,242"
    Percent with a disability,
        Estimate,11.60%
"Washington County, Iowa",
    Total,
        Estimate,"22,216"
    With a disability,
        Estimate,"3,112"
    Percent with a disability,
        Estimate,14.00%
"Wayne County, Iowa",
    Total,
        Estimate,"6,422"
    With a disability,
        Estimate,990
    Percent with a disability,
        Estimate,15.40%
"Webster County, Iowa",
    Total,
        Estimate,"35,034"
    With a disability,
        Estimate,"4,912"
    Percent with a disability,
        Estimate,14.00%
"Winnebago County, Iowa",
    Total,
        Estimate,"10,416"
    With a disability,
        Estimate,"1,312"
    Percent with a disability,
        Estimate,12.60%
"Winneshiek County, Iowa",
    Total,
        Estimate,"19,664"
    With a disability,
        Estimate,"2,126"
    Percent with a disability,
        Estimate,10.80%
"Woodbury County, Iowa",
    Total,
        Estimate,"105,058"
    With a disability,
        Estimate,"14,225"
    Percent with a disability,
        Estimate,13.50%
"Worth County, Iowa",
    Total,
        Estimate,"7,274"
    With a disability,
        Estimate,909
    Percent with a disability,
        Estimate,12.50%
"Wright County, Iowa",
    Total,
        Estimate,"12,640"
    With a disability,
        Estimate,"1,745"
    Percent with a disability,
        Estimate,13.80%
"Allen County, Kansas",
    Total,
        Estimate,"12,336"
    With a disability,
        Estimate,"2,135"
    Percent with a disability,
        Estimate,17.30%
"Anderson County, Kansas",
    Total,
        Estimate,"7,733"
    With a disability,
        Estimate,"1,268"
    Percent with a disability,
        Estimate,16.40%
"Atchison County, Kansas",
    Total,
        Estimate,"16,020"
    With a disability,
        Estimate,"2,489"
    Percent with a disability,
        Estimate,15.50%
"Barber County, Kansas",
    Total,
        Estimate,"4,029"
    With a disability,
        Estimate,638
    Percent with a disability,
        Estimate,15.80%
"Barton County, Kansas",
    Total,
        Estimate,"24,756"
    With a disability,
        Estimate,"4,176"
    Percent with a disability,
        Estimate,16.90%
"Bourbon County, Kansas",
    Total,
        Estimate,"14,208"
    With a disability,
        Estimate,"2,230"
    Percent with a disability,
        Estimate,15.70%
"Brown County, Kansas",
    Total,
        Estimate,"9,245"
    With a disability,
        Estimate,"1,531"
    Percent with a disability,
        Estimate,16.60%
"Butler County, Kansas",
    Total,
        Estimate,"65,205"
    With a disability,
        Estimate,"9,917"
    Percent with a disability,
        Estimate,15.20%
"Chase County, Kansas",
    Total,
        Estimate,"2,418"
    With a disability,
        Estimate,357
    Percent with a disability,
        Estimate,14.80%
"Chautauqua County, Kansas",
    Total,
        Estimate,"3,322"
    With a disability,
        Estimate,741
    Percent with a disability,
        Estimate,22.30%
"Cherokee County, Kansas",
    Total,
        Estimate,"18,970"
    With a disability,
        Estimate,"3,528"
    Percent with a disability,
        Estimate,18.60%
"Cheyenne County, Kansas",
    Total,
        Estimate,"2,589"
    With a disability,
        Estimate,356
    Percent with a disability,
        Estimate,13.80%
"Clark County, Kansas",
    Total,
        Estimate,"1,936"
    With a disability,
        Estimate,353
    Percent with a disability,
        Estimate,18.20%
"Clay County, Kansas",
    Total,
        Estimate,"7,769"
    With a disability,
        Estimate,"1,304"
    Percent with a disability,
        Estimate,16.80%
"Cloud County, Kansas",
    Total,
        Estimate,"8,667"
    With a disability,
        Estimate,"1,080"
    Percent with a disability,
        Estimate,12.50%
"Coffey County, Kansas",
    Total,
        Estimate,"8,185"
    With a disability,
        Estimate,"1,475"
    Percent with a disability,
        Estimate,18.00%
"Comanche County, Kansas",
    Total,
        Estimate,"1,674"
    With a disability,
        Estimate,363
    Percent with a disability,
        Estimate,21.70%
"Cowley County, Kansas",
    Total,
        Estimate,"33,221"
    With a disability,
        Estimate,"6,232"
    Percent with a disability,
        Estimate,18.80%
"Crawford County, Kansas",
    Total,
        Estimate,"38,509"
    With a disability,
        Estimate,"6,372"
    Percent with a disability,
        Estimate,16.50%
"Decatur County, Kansas",
    Total,
        Estimate,"2,672"
    With a disability,
        Estimate,481
    Percent with a disability,
        Estimate,18.00%
"Dickinson County, Kansas",
    Total,
        Estimate,"18,078"
    With a disability,
        Estimate,"2,671"
    Percent with a disability,
        Estimate,14.80%
"Doniphan County, Kansas",
    Total,
        Estimate,"7,402"
    With a disability,
        Estimate,"1,079"
    Percent with a disability,
